评论,评分
您没有填写内容，默认好评,1
您没有填写内容，默认好评,1
您没有填写内容，默认好评,1
您没有填写内容，默认好评,1
充电慢，快递员也不好说话！,1
价位比实体店还贵一百多,1
说是送蓝牙耳机，结果也没送，问客服说送完了。,1
刚买就便宜120，又没价格保护,1
送的手环没送，问客服也没回复！,1
手机卡槽打不开，不会是个模型吧,1
价格很便宜，一般吧！！！性价比不高,1
摄像头居然有一块是有裂痕的！,1
买的时候订单都看到有送蓝牙耳机了！收到了缺没有,1
怎么只送一个耳机，还不如在店里送的多呢,1
说的蓝牙耳机机怎么没有，到底怎么回事？,1
蓝牙耳机已收到,1
客服没人理声音有问题通话根本受不了。联系,1
屏幕锁不上  经常自动解锁,1
发错了不承认，客服说不一样的阳光不一样的看，难道说，颜色都不认识吗,1
手机收到没感觉怎么样，用一段再说,1
直播的时候说送蓝牙耳机才购买的，到了什么都没有,1
我就听到送耳机才买的，现在告诉我要暗号，只能送你一句呵呵。想要入手的想想吧。,1
手机接电话没声音，接通电话自己挂断,1
玩个崩坏三发热厉害，有时候进入崩坏三时会黑屏?,1
更新个游戏，强制渠道服，有这样的?,1
马上之后就降价了还不能申请保价,1
刚买一个月多点就降价了,1
外形外观：快递包装这么简陋，万一把屏幕摔坏了找谁呢？,1
刚买就打折  快递盒还坏了,1
下单4小时后降价100，保价是不可能的！,1
才半个月充电器就出问题了，充满要好几个小时,1
可以是可以，买完就降价，又不能补差价，给差评主要是降价，其他还不错没问题！,1
运行速度：下载不了待机时间：一天充三次电,1
等了五天才发货，糟糕透顶。,1
这是第一次买vivo的也是最后一次！,1
看上面有带蓝牙耳机      没有怎么回事       为什么?,1
客服是机器人根本联系不上，显示赠送蓝牙耳机，没有送，不会再来了,1
其他特色：刚买不久充电时候每隔几秒钟就断开,1
电一下就没了，什么都没有送，,1
手机无忧没有收到，只说以后给，到现在也没有下文，,1
手机其它还可以，就电池续航能力让人担忧。,1
外形外观：拍的华彩色，收到原力色?,1
京东发错了，有点小插曲，先用用看吧,1
反应慢，信号不好，面部识别老是卡顿。,1
屏幕模糊，还不如千元机,1
手机坏了不给修  一直敷衍人,1
运行速度：慢，才用十几天就开始卡?????,1
刚买了几天瞬间降价300，心里那个不痛快，说有赠品了不支持保价，我要那赠品有啥用，变相找借口,1
吃鸡竟然还是60贞，不支持90贞？,1
主板有问题，无线网络连不上,1
刚买了就降价 可以的,1
可千万别买了，不好用，降价还快的不行,1
用了几天打电话对面老说听不到这是什么原因啊？喇叭有问题吗？,1
打个王者选英雄界面直接卡住不动刚到的新机我真吐了,1
开两个应用一起卡到死，送货还慢还不给退,1
烂手机一个，用不到半个月就坏了,1
原装手机壳材质硬，脆。使用半月出现5条裂纹。,1
机身发烫发热，换了一个手机后还是一样，,1
其他手机用了两年打游戏都没有这么烫,1
质量差，退换后还是不行,1
手机啥的都挺好的就是电池不行，送个耳机还是坏的,1
网速和3G不相上下，谁买谁上当。,1
为什么手机壳按上去就拿不下来了,1
什么外包装啊？晕倒！,1
质量有问题联系客服不处理,1
qq偶尔会掉   电池不耐用是硬伤   其他还可以的,1
用第四天，开始卡顿，服气,1
打王者荣耀滑不动，经常卡死。,1
什么鬼刚到手就有划痕，这是新机？,1
拍照效果和声音质量都不如意,1
手机不好，稍微用一下就发热，用了一个小时就烫手，,1
流量卡是随机送，卖完第二天就有半年延保,1
手机信号一点都不好，感觉不像正品,1
我只想说手机还行，但是售后服务态度极度无语，其他的不想说了，反正这是第四次买了，也是最后一次了！,1
购机体验差?????????????????,1
