评论,评分,label,comment_processed
您没有填写内容，默认好评,1,0,没有 填写内容 默认 好评 
充电慢，快递员也不好说话！,1,0,充电 慢 快递 员 不好 说话 
价位比实体店还贵一百多,1,0,价位 实体店 还贵 一百多 
说是送蓝牙耳机，结果也没送，问客服说送完了。,1,0,说 送 蓝牙 耳机 没 送 问 客服 说 送 完 
刚买就便宜120，又没价格保护,1,0,刚买 便宜 没 价格 保护 
送的手环没送，问客服也没回复！,1,0,送 手环 没送 问 客服 没 回复 
手机卡槽打不开，不会是个模型吧,1,0,手机卡 槽 打不开 不会 模型 
价格很便宜，一般吧！！！性价比不高,1,0,价格 便宜 性价比 不高 
摄像头居然有一块是有裂痕的！,1,0,摄像头 居然 一块 裂痕 
买的时候订单都看到有送蓝牙耳机了！收到了缺没有,1,0,买 订单 看到 送 蓝牙 耳机 收到 缺 没有 
怎么只送一个耳机，还不如在店里送的多呢,1,0,送 一个 耳机 店里 送 
说的蓝牙耳机机怎么没有，到底怎么回事？,1,0,说 蓝牙 耳机 机 没有 到底 怎么回事 
蓝牙耳机已收到,1,0,蓝牙 耳机 收到 
客服没人理声音有问题通话根本受不了。联系,1,0,客服 没 人理 声音 问题 通话 根本 受不了 联系 
屏幕锁不上  经常自动解锁,1,0,屏幕 锁 经常 自动 解锁 
发错了不承认，客服说不一样的阳光不一样的看，难道说，颜色都不认识吗,1,0,发错 承认 客服 说 阳光 颜色 认识 
手机收到没感觉怎么样，用一段再说,1,0,手机 收到 没 感觉 一段 
直播的时候说送蓝牙耳机才购买的，到了什么都没有,1,0,直播 说 送 蓝牙 耳机 购买 没有 
我就听到送耳机才买的，现在告诉我要暗号，只能送你一句呵呵。想要入手的想想吧。,1,0,听到 送 耳机 买 现在 告诉 我要 暗号 只能 送 一句 想要 入手 想想 
手机接电话没声音，接通电话自己挂断,1,0,手机 接电话 没 声音 接通 电话 挂断 
玩个崩坏三发热厉害，有时候进入崩坏三时会黑屏?,1,0,玩个 崩坏 三 发热 厉害 有时候 进入 崩坏 三 时会 黑屏 
更新个游戏，强制渠道服，有这样的?,1,0,更新 游戏 强制 渠道 服有 
马上之后就降价了还不能申请保价,1,0,马上 之后 降价 不能 申请 保价 
刚买一个月多点就降价了,1,0,刚买 一个月 多点 降价 
外形外观：快递包装这么简陋，万一把屏幕摔坏了找谁呢？,1,0,外形 外观 快递 包装 简陋 万一把 屏幕 摔坏 找 
刚买就打折  快递盒还坏了,1,0,刚买 打折 快递 盒 坏 
下单4小时后降价100，保价是不可能的！,1,0,下单 小时 降价 保价 可能 
才半个月充电器就出问题了，充满要好几个小时,1,0,半个 月 充电器 出 问题 充满 好几个 小时 
可以是可以，买完就降价，又不能补差价，给差评主要是降价，其他还不错没问题！,1,0,买 完 降价 不能 补 差价 差评 主要 降价 不错 没 问题 
运行速度：下载不了待机时间：一天充三次电,1,0,运行 速度 下载 不了 待机时间 一天 充 三次 电 
等了五天才发货，糟糕透顶。,1,0,五天 发货 糟糕透顶 
这是第一次买vivo的也是最后一次！,1,0,这是 第一次 买 最后 一次 
看上面有带蓝牙耳机      没有怎么回事       为什么?,1,0,上面 有带 蓝牙 耳机 没有 怎么回事 
客服是机器人根本联系不上，显示赠送蓝牙耳机，没有送，不会再来了,1,0,客服 机器人 根本 联系 不上 显示 赠送 蓝牙 耳机 没有 送 不会 再来 
其他特色：刚买不久充电时候每隔几秒钟就断开,1,0,特色 刚买 不久 充电 每隔 几秒钟 断开 
电一下就没了，什么都没有送，,1,0,电 一下 没 没有 送 
手机无忧没有收到，只说以后给，到现在也没有下文，,1,0,手机 无忧 没有 收到 说 以后 现在 没有 下文 
手机其它还可以，就电池续航能力让人担忧。,1,0,手机 电池 续航 能力 担忧 
外形外观：拍的华彩色，收到原力色?,1,0,外形 外观 拍 华 彩色 收到 原力色 
京东发错了，有点小插曲，先用用看吧,1,0,京东 发错 有点 插曲 先用 看吧 
反应慢，信号不好，面部识别老是卡顿。,1,0,反应 慢 信号 不好 面部 识别 老是 卡顿 
屏幕模糊，还不如千元机,1,0,屏幕 模糊 千元 机 
手机坏了不给修  一直敷衍人,1,0,手机 坏 修 一直 敷衍 
运行速度：慢，才用十几天就开始卡?????,1,0,运行 速度 慢才 十几天 卡 
刚买了几天瞬间降价300，心里那个不痛快，说有赠品了不支持保价，我要那赠品有啥用，变相找借口,1,0,刚买 几天 瞬间 降价 心里 痛快 说 赠品 支持 保价 我要 赠品 变相 找 借口 
吃鸡竟然还是60贞，不支持90贞？,1,0,吃 鸡 竟然 支持 
主板有问题，无线网络连不上,1,0,主板 问题 无线网络 连不上 
刚买了就降价 可以的,1,0,刚买 降价 
可千万别买了，不好用，降价还快的不行,1,0,千万别 买 不好 降价 快 不行 
用了几天打电话对面老说听不到这是什么原因啊？喇叭有问题吗？,1,0,几天 打电话 对面 老说 听 不到 这是 原因 喇叭 问题 
打个王者选英雄界面直接卡住不动刚到的新机我真吐了,1,0,打个 王者 选 英雄 界面 直接 卡住 不动 刚到 新机 真 吐 
开两个应用一起卡到死，送货还慢还不给退,1,0,开 两个 应用 一起 卡到 死 送货 还慢 退 
烂手机一个，用不到半个月就坏了,1,0,烂 手机 一个 不到 半个 月 坏 
原装手机壳材质硬，脆。使用半月出现5条裂纹。,1,0,原装 手机 壳 材质 硬脆 使用 半月 出现 条 裂纹 
机身发烫发热，换了一个手机后还是一样，,1,0,机身 发烫 发热 换 一个 手机 
其他手机用了两年打游戏都没有这么烫,1,0,手机 两年 打游戏 没有 烫 
质量差，退换后还是不行,1,0,质量 差 退换 不行 
手机啥的都挺好的就是电池不行，送个耳机还是坏的,1,0,手机 挺 电池 不行 送个 耳机 坏 
网速和3G不相上下，谁买谁上当。,1,0,网速 不相上下 买 上当 
为什么手机壳按上去就拿不下来了,1,0,手机 壳 上去 下来 
什么外包装啊？晕倒！,1,0,外包装 晕倒 
质量有问题联系客服不处理,1,0,质量 问题 联系 客服 处理 
qq偶尔会掉   电池不耐用是硬伤   其他还可以的,1,0,偶尔 会 掉 电池 耐用 硬伤 
用第四天，开始卡顿，服气,1,0,第四天 卡顿 服气 
打王者荣耀滑不动，经常卡死。,1,0,王者 荣耀 滑不动 经常 卡死 
什么鬼刚到手就有划痕，这是新机？,1,0,鬼刚 到手 划痕 这是 新机 
拍照效果和声音质量都不如意,1,0,拍照 效果 声音 质量 不如意 
手机不好，稍微用一下就发热，用了一个小时就烫手，,1,0,手机 不好 稍微 一下 发热 一个 小时 烫手 
流量卡是随机送，卖完第二天就有半年延保,1,0,流量 卡是 随机 送 卖完 第二天 半年 延保 
手机信号一点都不好，感觉不像正品,1,0,手机信号 一点 不好 感觉 不像 正品 
我只想说手机还行，但是售后服务态度极度无语，其他的不想说了，反正这是第四次买了，也是最后一次了！,1,0,想 说 手机 行 售后服务 态度 极度 语 不想 说 反正 这是 第四次 买 最后 一次 
购机体验差?????????????????,1,0,购机 体验 差 
外形外观：刚打开包装后摄像头保护镜片就掉了，京东的货也是这么回事啊！,1,0,外形 外观 刚 打开 包装 摄像头 保护 镜片 掉 京东 货 这么回事 
半天一充电，耗电量太快，其他没问题！,1,0,半天 充电 耗电量 太快 没 问题 
收货这么久，直播间的赠品不兑现承诺！?,1,0,收货 这么久 直播间 赠品 兑现 承诺 
手机卡顿也不是很好没有下单的时候他们说好手机到手了现在卡顿是经常卡顿,1,0,手机卡 顿 没有 下单 说好 手机 到手 现在 卡顿 经常 卡顿 
外形外观：。。。运行速度：。。。拍照效果：没达到预期,1,0,外形 外观 运行 速度 拍照 效果 没 达到 预期 
昨天刚买，今天用了一天电池不耐用，就算待机状态下也费电，平均5分钟下一格电，这要是玩游戏，2个小时就没电，,1,0,昨天 刚买 今天 一天 电池 耐用 待机 状态 费电 平均 分钟 一格电 玩游戏 小时 没电 
3分钟下一格电，这要玩手机5小时就没电，,1,0,分钟 一格电 这要 玩 手机 小时 没电 
此用户未填写评价内容,1,0,用户 未填写 评价 内容 
为什么会买到二手手机，账号已经有人实名登录注册过,1,0,会 买 二手手机 账号 已经 有人 实名 登录 注册 
这个商家也太不负责任了吧,1,0,商家 太 不负责任 
用不起5g,1,0,用不起 
手机有发热的。刚拿到手就有卡屏。,1,0,手机 发热 刚 拿到 手 卡屏 
电池不耐用，充电器充电会发热，感觉没什么升级,1,0,电池 耐用 充电器 充电 会 发热 感觉 没什么 升级 
一星都不想给。买了那么久了，卡槽硬是打不开！等于3000多买了个玩具！买了个寂寞！！！客服说让家人一起帮忙，怎么帮？拿锤子锤？？？,1,0,一星 不想 买 久 卡槽 硬是 打不开 等于 买 玩具 买 寂寞 客服 说 家人 一起 帮忙 帮 锤子 
手机质量不是太好的。经常无缘无故的。卡掉了。还会强退。,1,0,手机 质量 不是太好 经常 无缘无故 卡 掉 会 强退 
用了两个星期多，手机经常无故关机，正品？？？要求更换手机,1,0,两个 星期 手机 经常 无故 关机 正品 要求 更换 手机 
第一次在京东买手机，这么相信京东，不想给了这么体验我，几千块不多，不过这么坑人，就是不爽,1,0,第一次 京东 买手机 相信 京东 不想 体验 几千块 坑人 不爽 
