label,comment_processed
4,一直 蓝厂 手机 妈妈 四年 该换 正好 刚出 配置 更好 更新 果断 入手 买 礼盒装 几个 公仔 贴纸 手机 完美 算是 国产手机 顶级 实力 
4,款 手机 颜色 太漂亮 玻璃 后盖绝 绝子 颜控 表示 喜欢 拍照 好看 电池 耐用 
0,刚刚 买来 一个月 不到 电话 接听 不到 一天 几十个 电话 进来 手机 重要 功能 问题 买 线下 售后 售后 说 手机 没 问题 手机卡 问题 营业厅 换 手机卡 接听 不到 电话 天天 推 责任 磨磨 唧唧 天 不能 解决问题 简直 太 垃圾 
4,运行 速度 真的 不要 太爽 使用 起来 不会 卡顿 之前 明显 不够 外形 外观 真的 很漂亮 送给 老婆 老大 喜欢 特色 充电 太爽了 瓦 真的 需要 等待 几分钟 事情 拍照 效果 感觉 屏幕 清新 真的 爽到 爆 
0,辣鸡 客服 刚买 手机 降价 补 差价 
0,可能 运气 差 遇到 后盖 印 影响 使用 倒 挺 满意 
2,打电话 时间 久 手机 烫 会 强制性 挂掉 
4,手机 不错 系统 起来 舒服 画面 流畅 运行 很快 打游戏 流畅 性价比 高 
4,外形 外观 屏幕 音效 不错 拍照 效果 清晰 运行 速度 流畅 待机时间 玩游戏 中度 使用 一天 没 问题 特色 充电 很快 刷新率 很爽 玩游戏 热 性价比 高 
1,一个 刚用 一个月 手机 卡 
1,手机 带电 一点 不好 太差 没 两年 手机 带电 新手机 充 电 一天 不到 
2,现在 京东 自营 真的 知道 搞 鬼 售后 售后 差 要命 产品 产品 差 要命 原先 买 一部 后来 拿到 手开 不了 机 几番 周折 退 换乘 说 
4,手机 真 喜欢 今年 月份 能出 手感 摄像头 喜欢 整体 不错 方便 扫一扫 旧 手机 手机 资料 传过来 
2,很快 没电 没有 华为 
0,刚买 降价 
4,起来 顺滑 做工 一流 正品 未 拆封 新机 特别 好用 充电 快 续航 达到 要求 均衡 找 不到 短板 价位 买 机子 
0,差太差 后悔 死 
1,网进个 刷新 几次 进 
0,买前 热情 满怀 买后 无人问津 客服 够 高 冷 
4,京东 自营 值得 信赖 质量 物流 超给力 
4,朝露 白真 好看 颜色 干净 妈妈 足够 拍照 力 指纹 面部 识别 方便 
4,上市 迫不及待 下单 发货 速度 好快 收到 立马 拆开 颜色 喜欢 机身 手感 超好 裸机 养眼 不想 带 手机 壳 颜值 爆表 说 使用 感受 惊喜 拍照 功能 无论是 前置 后置 超级 清晰 太赞 方面 没有 问题 超大 运存 运行 特别 流畅 玩游戏 不卡顿 总体 满意 
0,千万别 买 降价 太快 十来天 降 块 保价 想 买 最好 
0,看来 建议 网上 购机 总 通话 问题 
2,手机 外表 不错 挺 好看 起来 手机 速度 没有 所说 快 
4,好看 一款 手机 价格便宜 轻薄 开学 小孩 买 这款 手机 小孩 喜欢 
1,外形 外观 太厚 膜 没 贴 回去 好好 学学 贴膜 卖 
4,我家 手机 一直 京东 买 
4,手机 没有 耳机 
4,一眼 看中 偏 黄色 款 缺货 买 颜色 买回来 真香 手机 好好看 像素 高 拍照 色彩 夜景 拍 清楚 手机 功能强大 支持 很多 功能 推荐 购买 运行 速度 很快 待机时间 很长 外形 外观 好看 拍照 效果 超棒 屏幕 音效 
2,外形 外观 不错 颜色 绚丽 质感 行 屏幕 音效 屏幕 音效 屏幕 确实 不错 里算 声音 音效 拍照 效果 扫码 够用 略微 有点 偏色 运行 速度 运行 速度 快 待机时间 待机 耗电 略 快 特色 发热 略微 严重 知道 说 吃 鸡 烫 想法 高刷 确实 很香 价格 确实 性价比 我会 那点 豆子 违背良心 写 好评 想都别想 评价 绝对 客观 公平 豆子 爱 老子 不在乎 
1,手机 半个 月 评价 手机 不错 电池电量 耐用 感觉 电池 问题 京东 自营 买 四个 手机 感觉 一个 手机电池 不行 
0,玩游戏 死机 闪退 切换 界面 停滞 感 
0,买个 手机 送 充电器 花钱 不到 一月 掉 元 
