content,creationTime,nickname,referenceName,content_type
东西收到这么久，都忘了去好评，美的大品牌，值得信赖，东西整体来看，个人感觉还不错，没有出现什么问题，值得拥有！,2017-04-17 13:01:54,鑫***辰,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
安装师傅很给力，热水器也好用，感谢美的。,2017-04-17 10:45:33,切***药,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
还没安装，基本满意,2017-04-17 10:58:33,j***x,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
电热水器收到了，京东自营商品就是好，发货速度快，品质有保障，安装效果好，宝贝非常喜欢，冬天可以24小时有热水了，京东自营值得信赖，值得推荐京东自营。,2017-10-18 20:22:33,j***2,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
用了几次才来评价，对产品非常满意，加热快保温时间长，售后服务特别好，主动打电话询问送货情况帮我联系安装，非常感谢售后大姐的服务！下次购买还会考虑美的！,2017-04-17 09:19:16,j***6,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
物美价廉啊，特别划算的，而且加热速度快。家里用着不错特别方便,2017-04-17 10:02:30,V***苗,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
价格合理，配置挺高，物美价值,2017-04-16 21:56:55,3***6,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
老师按装是快的，装修中。没试。希望是正常的！,2017-09-23 11:03:07,温州谢先生,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
"五分是习惯
送的快，装的也快，很好，不过装修进行中，为了吊顶只装了热水器，其它后话吧。
我也是醉了，热水器遥控器没电池，还是安装哥车里有一个备用的给装上了。
要赠送的电动牙刷，空气净化器等待配送中&hellip;&hellip;。
一天时间冰箱降100、洗衣机降40、热水器降100、小厨宝降30、烟灶套降100。不过客服说上报解决，电话通知等待中&hellip;&hellip;",2017-04-28 16:59:48,n***8,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
安装的小哥非常好，工作很尽心，我们家是老房子，安装比一般家要费力。安装的非常不错。因为整栋楼要用热水，裙子只能这样装。给小哥点个赞。热水器已经买二个了，一如既往地好用。美的大品牌，质量非常好,2017-10-03 16:05:49,熊二5920,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
前天下单买的今天就用上了，目前没有发现问题，比街上卖的便宜很多，店家都说和网上比他家贵很多，我当老板面直接在网上比的?,2017-10-05 18:37:39,j***s,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
冲着3000元以内1.5变频1级能效，制冷效果还不错。,2017-10-07 16:39:32,z***9,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
"很好以后还在京东购物，我去别的电器问我这型号，说没有我这个型号，有相识的，1299元
，
买家电的还说我这下线了，安装师傅说，我是普通的挺好的。加热很快，购物很满意，还没走用，安装费花179元，热水器带的喷头不能用槊料的，得自己买花伞。安装还得80 元。
麻烦啊，",2017-09-20 14:26:58,j***6,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
物流非常快，早上送来的，中午就可以安装了，安装时候也非常认真安装师傅非常认真，负责任，热水器刚开始用，还不知道效果怎么样，但是售后确实挺好,2017-09-21 18:32:09,刘刘不忘初心,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
各方面都很满意，从价格，产品质量，货运，安装调试，工作人员服务态度方面，还有售后服务。,2017-09-27 11:40:11,j***b,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
挺好的，收费安装速度很快，管道走的也整齐，不错,2017-10-10 15:01:40,灵***技,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
用了好几天了，才想起来晒单，差点忘了，这款热水器很好，我很喜欢?,2017-10-12 10:34:09,j***4,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
已经安装但还没用 看上去这样 不多做评价 凑字的,2017-10-14 21:40:35,纳***x,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
非常不错，安装人员也很专业，值得信赖！,2017-10-02 19:22:12,德亭绿叶,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
给家里买的 挺好用的 没在家 安装的很好,2017-10-22 10:00:21,闹***3,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
之前装的太阳能。坏掉了，现在换了电热水器还方便一些。,2017-10-09 10:26:12,7***林,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
真心感觉不错，装好当晚三个人冲凉还有热水没用完，好评,2017-10-08 13:55:11,j***7,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
真心不错！很喜欢，大品牌！！！啊赞一个！！,2017-10-03 16:24:43,有***_,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
已经安装好了，希望没什么问题。,2017-10-16 01:46:23,神***家,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
就是这么完美。以后不用天天等太阳了。,2017-10-12 10:46:47,檩***e,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
美的售后好，预约安装挺方便的！,2017-10-03 11:22:57,j***ㄋ,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
质量不错，暖水挺快的，支持京东,2017-10-03 12:33:19,3***俐,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
不错，物超所值,2017-09-23 20:58:06,J***7,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
凌晨一点下单，14点多送到，17点员工上门安装，速度效率扛扛的！特别是赞扬安装师傅，特别专业，一进门就换上自己的鞋套，安装过程的弄脏的地方全部擦干净，好评！热水器试用了，这个量，两三个人用刚好合适。,2017-10-18 23:36:05,暮***你,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
东西不错，价格很实惠，试了下，加热很快，还省电，老爸说看起来很大气，遥控挺灵敏的，客服很负责，安装才花了70多，很规范，强烈推荐！,2017-10-22 19:02:28,烧***4,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
