index,cols,sentiment_score,情绪
0,我们在今年十月份去了普达措国家公园，那里的风景非常美丽而且管理得很好。您可以在独克宗广场的迪庆州旅游集散中心购买门票，包括168元的巴士和门票费用，然后巴士会送您到国家公园，并搭乘国家公园景区巴士在3个站点下车，我建议您每个景点都下车游览。首先，巴士会在一个小径下车，您可以徒步2.2公里，一直走到尽头，然后巴士会等待接送您到第二个站点的属都湖，您可以沿湖边散步或者付费乘船穿过湖泊，一直到路线的尽头，然后您可以转乘巴士前往碧塔海进行短暂的漫步，最后再搭乘同样的巴士返回入口处，回到镇上。请确保合理安排时间，以便按时搭乘巴士返回。,0.7890024621777306,正
2,还有人说：“我在冬天去的，所以公园被雪覆盖着。温度适宜，略高于摄氏零度。人们在雪中玩耍，动物们似乎也很喜欢。”,0.09087118271172927,负
3,他们评价道：“享受高海拔植被，当然还有整个令人陶醉宁静的童话世界！确实是一个真正的生态圣地！”,0.7851265835169374,正
4,去那里观赏美丽的自然风景并散步几个小时是一次绝佳的选择。如果您没有自己的车，每天早上9点30分会有一辆巴士从古城出发。,0.39893363267296067,中
5,有人说：“普达措国家公园，我们到得很晚，大约下午4点，我们先乘了一辆巴士，导游用中文详细解说了国家公园的情况。到达目的地后，有两种探索方式，一种是徒步（大约1.5-2小时），另一种是乘船（每人50元，时间15-20分钟，不包括等船时间）。这个地方也是中国歌手张杰结婚的地方。这个地方非常美丽，很棒。排队返回巴士站时，他们有卖很好吃而且便宜的羊肉串。”,0.7199944371231413,正
6,这是一个令人惊叹的地方！绝对值得一去。景色壮丽。,0.937837003488026,正
7,有人评价说：“在十月的黄金周参观了普达措国家公园。门票相当昂贵，你只能乘坐巴士环游，只能稍微走动一下。公园内有三个景点，但其中一个景点关闭了，并且似乎很长时间都不会开放。这个公园似乎不知道何时停止接待游客，因为某个时刻车队前面排了大约500米的队伍，我们不得不在这个队伍中等待半个多小时。这个地方变得越来越成为旅游胜地，他们安装了许多塑料道具供人们拍照。他们目前正在公园的某个地方安装一些巨大的塑料蘑菇，看起来有点俗气。用来接送游客的巴士都应该是环保巴士，但它们似乎是柴油车，噪音很大。这是一个美丽的地方，但并不那么自然了。”,0.2754671878201368,负
8,这是一个观赏自然风光的绝佳地方，美丽而干净。第一条小径长2.2公里，第二条小径长3.3公里，沿着湖边的木板路走以避免对自然环境造成破坏。我们在公园里度过了愉快的5个小时。门票价格为成人80元，儿童70元。小径上没有地方可以购买水或使用洗手间（只能在每条小径之前或之后），所以请提前准备好。,0.24067286110975153,负
9,游客可以进入公园的区域主要是围绕着一个大湖的木板路，然而即使这个湖泊很漂亮，鉴于这里几乎没有真正的徒步旅行机会，而且从城镇到这里需要花费一定的精力，很难推荐来这里。,0.8934544082150497,正
10,纠结了好久要不要去普达措，最后还是决定来了，事实证明这个决定太对了。太喜欢普达措了，3公里的沿湖栈道，一边是湖，一边是挂满了绿色的&ldquo;胡须&rdquo;松萝，干净纯洁，只怪路太短，一会儿就走完了。路上可以看见好多动物，马，牦牛，花栗鼠，鸟&hellip;&hellip;很有趣的体验,0.6444930856172125,中
