ID,NUMBER,Ê±¼ä
23562,12100,2022/1/4 14:42
23563,20100,2022/1/19 15:02
23565,2020,2022/1/20 15:09
23566,21800,2022/1/20 15:11
23571,21800,2022/1/21 11:31
23572,2020,2022/1/21 11:31
23573,1510,2022/1/21 11:33
23574,300,2022/1/22 9:53
23575,300,2022/1/22 9:56
23576,7070,2022/2/11 14:42
23577,4040,2022/2/11 15:09
23578,28500,2022/2/11 15:12
23579,2820,2022/2/11 15:14
23580,5000,2022/2/11 15:15
23583,6100,2022/2/11 17:31
23584,750,2022/2/11 17:44
23585,700,2022/2/11 17:47
23595,1330,2022/2/23 8:48
23596,2020,2022/2/23 8:49
23597,7800,2022/2/23 8:50
23598,2920,2022/2/23 8:50
23599,2270,2022/2/23 8:52
23600,10100,2022/2/23 8:54
23601,2920,2022/2/23 8:55
23602,737,2022/2/23 8:56
23604,10100,2022/2/23 10:27
23605,1730,2022/2/23 10:28
23606,303,2022/2/23 10:32
23607,10100,2022/2/23 10:36
23608,50500,2022/2/23 10:44
23609,4540,2022/2/23 10:45
23610,6060,2022/2/23 10:49
23611,1010,2022/2/23 10:51
23612,3430,2022/2/23 10:53
23613,1430,2022/2/23 10:54
23614,40400,2022/2/23 10:55
23616,7570,2022/2/27 13:47
23617,69600,2022/2/27 13:49
23618,30300,2022/2/27 13:50
23619,22200,2022/2/27 13:53
23621,32300,2022/2/27 13:56
23622,20200,2022/2/27 13:57
23623,20200,2022/2/27 13:58
23624,22500,2022/2/27 14:00
23625,66172,2022/2/27 14:02
23626,9110,2022/2/27 14:04
23627,22200,2022/2/27 14:05
23628,13900,2022/2/27 14:08
23629,29200,2022/2/27 14:09
23630,70700,2022/2/27 14:10
23631,25200,2022/2/27 14:11
23632,5050,2022/2/27 14:11
23633,12400,2022/2/27 14:16
23634,10200,2022/2/27 14:17
23635,14800,2022/2/27 14:22
23636,5550,2022/2/27 14:24
23637,6560,2022/2/27 14:25
23638,14100,2022/2/27 14:26
23639,30300,2022/2/27 14:27
23640,505,2022/2/27 14:28
23641,24200,2022/2/27 14:29
23642,30800,2022/2/27 14:31
23643,6440,2022/2/27 14:32
23644,323,2022/2/27 14:33
23645,1010,2022/2/27 14:45
23646,8180,2022/2/27 15:46
23647,32350,2022/3/1 18:56
23648,7470,2022/3/1 18:57
23649,10100,2022/3/1 19:04
23650,10100,2022/3/1 19:05
23651,45400,2022/3/1 19:09
23653,1410,2022/3/1 19:10
23654,2320,2022/3/1 19:12
23655,2320,2022/3/1 19:13
23656,7770,2022/3/1 19:27
23657,1610,2022/3/1 19:28
23658,383,2022/3/2 10:47
23663,430,2022/3/3 19:51
23664,430,2022/3/3 19:52
23665,430,2022/3/3 21:47
23666,430,2022/3/3 21:48
23680,1030,2022/3/10 16:09
23681,9490,2022/3/10 18:39
23682,20200,2022/3/10 18:40
23683,16000,2022/3/10 18:41
23684,20200,2022/3/10 18:42
23685,28200,2022/3/10 18:42
23686,2220,2022/3/10 18:43
23687,60700,2022/3/10 18:45
23688,4040,2022/3/10 18:46
23689,10100,2022/3/10 18:47
23690,14100,2022/3/10 18:47
23691,6060,2022/3/10 18:48
23692,20200,2022/3/10 18:50
23693,12100,2022/3/10 18:50
23694,48900,2022/3/10 18:51
23695,9660,2022/3/10 18:52
23696,3030,2022/3/10 18:53
23697,10100,2022/3/10 18:54
23698,10120,2022/3/10 18:57
23699,20200,2022/3/10 19:00
23700,1820,2022/3/11 9:34
23701,727,2022/3/11 9:36
23702,50500,2022/3/11 10:43
23703,3620,2022/3/11 10:44
23704,5050,2022/3/11 10:45
23707,5050,2022/3/11 14:18
23708,2620,2022/3/11 18:45
23709,14600,2022/3/11 18:45
23710,20200,2022/3/11 18:46
23711,2620,2022/3/11 18:47
23712,20200,2022/3/11 18:48
23713,5050,2022/3/12 14:41
23714,1510,2022/3/12 14:44
23715,1020,2022/3/14 18:28
23716,1050,2022/3/14 18:31
23717,20884,2022/3/14 19:04
23718,20200,2022/3/14 19:06
23719,8500,2022/3/14 19:07
23720,2620,2022/3/14 19:08
23721,6110,2022/3/14 19:09
23722,1060,2022/3/14 19:10
23723,353,2022/3/14 19:10
23724,2070,2022/3/14 19:19
