Anyone can do that.	任何人都可以甘做。 
How about another piece of cake?	再黎一块蛋糕点啊？ 
She married him.	佢嫁左比佢。 
I don't like learning irregular verbs.	我唔中意学唔规则动字。 
It's a whole new ball game for me.	对我黎讲尼一场啦，全新的比赛。 
He's sleeping like a baby.	佢训到成个苏虾仔。 
He can play both tennis and baseball.	佢会打网球同棒球。 
We should cancel the hike.	我地应该取消远足。 
He is good at dealing with children.	佢善于同仔们打交道。 
She will do her best to be here on time.	佢会尽最大的努力准时到尼度。 
Why are you so good at cooking?	你点解甘识煮饭？ 
He has recovered from his bad cold.	佢重感冒已经好翻晒。 
It's a dead end.	里个倔头路。 
I rejected the offer.	我拒绝左尼个好提议.. 
He often quotes Milton.	佢成日引用弥尔顿的野。 
Mommy, may I go swimming?	妈咪，我可以去游水吗？ 
Miyazaki is not what it used to be.	宫崎骏已经今时唔同往日啦。 
People must love one another.	的人要大家相爱。 
Where do you have pain?	你边度痛呀？ 
Keep oil away from the fire.	比油远离火。 
This is never going to end.	尼永远唔会搞掂。 
He had a hungry look.	佢一面饥渴。 
I don't know which button to push.	我唔知按边个按钮。 
He heard the news on the radio.	佢系部收音机度听到尼个消息。 
Don't leave the water running.	唔好比水一流住。 
I'm opposed to any type of war.	我唔比任何形式的战争。 
I had a hard day.	我今日过得好辛苦。 
He will succeed to the throne.	佢将继承王位。 
Please give me something hot to drink.	唔该比我的热饮料。 
Have fun.	玩得开心。 
The library is on the second floor.	图书馆系二楼。 
Look at me with your books closed.	望住我合埋你的书。 
I still love him.	我仍然爱佢。 
His low salary prevents him from buying the house.	佢低工资令佢买唔起屋。 
Hang your coat on the hook.	将你的外套挂系钩上。 
I can't understand his feelings.	我无法理解佢感受。 
She didn't try to hide the truth.	佢冇试图隐瞒真相。 
Dad bought me a camera.	爸爸比我买左部相机。 
I love her and she loves me.	我钟意佢，佢都钟意我。 
The boy has learned to read.	尼个男仔学识左体书。 
You are irresistible.	你系唔可抗拒的。 
It was heartless of him to say such a thing to the sick man.	佢对病人讲的甘的野真系倔情。 
He calls her up every night.	佢晚晚都比佢打左电话。 
They left one after another.	佢地一个接一个甘走左。 
Father always has the tailor make his suits.	老豆系比裁缝比佢做西装。 
We got him to carry our bag.	我地比佢帮我地罗包。 
He drove the truck to Dallas.	佢开住货车去左达拉斯。 
