tag,content
反腐,中新网月日电据最高检网站消息新疆生产建设兵团原党委常委副司令员中国新建集团公司原副总经理焦小平涉嫌受贿一案由国家监察委员会调查终结经最高人民检察院指定由重庆市人民检察院第五分院审查起诉近日重庆市人民检察院第五分院已向重庆市第五中级人民法院提起公诉检察机关在审查起诉阶段依法告知了被告人焦小平享有的诉讼权利并讯问了被告人焦小平听取了辩护人的意见检察机关起诉指控被告人焦小平利用担任财政部办公厅部长办公室副处长级秘书财政部国际司资金统计处正处长级干部中国清洁发展机制基金管理中心副主任主任财政部政府和社会资本合作中心主任等职务上的便利以及职权地位形成的便利条件为他人谋取利益非法收受他人财物数额特别巨大依法应当以受贿罪追究其刑事责任画中画广告画中画广告编辑姓名编辑邵婉云编辑姓名
反腐,中央纪委国家监委网站讯据中央纪委国家监委驻国家税务总局纪检监察组广东省纪委监委消息国家税务总局广东省税务局原党委书记副局长胡金木涉嫌严重违纪违法目前正接受中央纪委国家监委驻国家税务总局纪检监察组纪律审查和广东省监察委员会监察调查中央纪委国家监委驻国家税务总局纪检监察组广东省监察委员会画中画广告画中画广告编辑姓名编辑张子怡编辑姓名
反腐,中央纪委国家监委网站讯日前经广东省委批准广东省纪委监委对潮州市人大常委会原党组成员副主任张传胜严重违纪违法问题进行了立案审查调查经查张传胜丧失理想信念背离党性原则无视中央八项规定精神违规收受礼金违背组织原则在干部职务晋升中违规为他人谋利并收受财物既想当官又想发财大搞权钱交易利用职务上的便利为他人在工程承揽项目推进等方面谋利并非法收受巨额财物张传胜严重违反党的组织纪律廉洁纪律和生活纪律构成严重职务违法并涉嫌受贿犯罪且在党的十八大后不收敛不收手性质严重影响恶劣应予严肃处理依据中国共产党纪律处分条例中华人民共和国监察法中华人民共和国公职人员政务处分法等有关规定经广东省纪委常委会会议研究并报广东省委批准决定给予张传胜开除党籍处分按规定取消其相应的退休待遇收缴其违纪违法所得将其涉嫌犯罪问题移送检察机关依法审查起诉所涉财物一并移送张传胜简历画中画广告画中画广告张传胜男汉族年月出生广东潮州人在职研究生学历年月参加工作年月加入中国共产党历任潮州市饶平县委书记县人大常委会主任潮州市政府副秘书长潮州市发展改革局党组书记局长潮州经济开发区党工委书记管委会主任潮州市委常委副市长潮州市人大常委会党组成员副主任年月退休广东省纪委监委编辑姓名编辑曹子健编辑姓名
反腐,中新社北京月日电记者张素中国最高人民检察院月日通报国家能源投资集团有限责任公司原党组成员副总经理李东涉嫌受贿一案进展江西省宜春市人民检察院近日已提起公诉检察机关起诉指控称被告人李东利用担任神华准格尔煤炭公司党委副书记经理神华集团准格尔能源有限责任公司党委副书记董事长神华集团有限责任公司副总工程师神华集团有限责任公司党组成员副总经理国家能源投资集团有限责任公司党组成员副总经理等职务上的便利为他人谋取利益非法收受他人财物数额特别巨大依法应当以受贿罪追究其刑事责任公开资料显示李东生于年工学博士教授级高级工程师他长年供职于能源领域于年退休今年月官方通报其被查经查李东毫无纪法底线肆无忌惮靠煤吃煤长期以投资代理为名大搞权钱交易利用职务便利为他人在产品销售企业经营等方面谋利并非法收受巨额财物他还被指违规拥有非上市公司股份退休后违规在民营企业任职取酬徇私调整提拔干部长期违规接受宴请旅游打高尔夫球等活动安排等画中画广告画中画广告今年以来国资央企反腐败力度持续加大包括李东在内多名中管干部先后落马还有多批国资央企管理人员集中通报被查有评论认为这释放出持续深化整治国有企业领域腐败加大查办案件工作力度严字当头一严到底的强烈信号完编辑姓名编辑刘阳禾编辑姓名
反腐,中央纪委国家监委网站讯据中央纪委国家监委驻中央统战部纪检监察组内蒙古自治区纪委监委消息中央民族大学党委常委副校长田琳涉嫌严重违纪违法目前正接受中央纪委国家监委驻中央统战部纪检监察组纪律审查和内蒙古自治区乌海市监察委员会监察调查中央纪委国家监委驻中央统战部纪检监察组内蒙古自治区纪委监委画中画广告画中画广告编辑姓名编辑付子豪编辑姓名
反腐,中新网广州月日电记者程景伟据广东省纪委监委南粤清风网月日通报日前经广东省委批准广东省纪委监委对梅州市政协原党组书记主席陈建青严重违纪违法问题进行了立案审查调查经查陈建青丧失理想信念背弃初心使命无视中央八项规定精神违规收受礼金违背组织原则不按规定报告个人有关事项在干部职务晋升中为他人谋利并收受财物违规通过民间借贷获取大额回报毫无纪法底线公器私用恣意妄为利用职务上的便利侵吞公款大搞权钱交易利用职务上的便利为他人在工程承揽获取财政资金补贴等方面谋利并非法收受巨额财物陈建青严重违反党的组织纪律廉洁纪律构成严重职务违法并涉嫌贪污受贿犯罪且在党的十八大后不收敛不收手性质严重影响恶劣应予严肃处理依据中国共产党纪律处分条例中华人民共和国监察法中华人民共和国公职人员政务处分法等有关规定经广东省纪委常委会会议研究并报广东省委批准决定给予陈建青开除党籍处分按规定取消其相应的退休待遇收缴其违纪违法所得将其涉嫌犯罪问题移送检察机关依法审查起诉所涉财物一并移送陈建青男汉族年月生广东东源人在职研究生学历年月参加工作年月加入中国共产党历任河源市连平县委书记县人大常委会主任梅州市副市长梅州市政协党组书记主席年月退休完画中画广告画中画广告编辑姓名编辑张子怡编辑姓名
反腐,中央纪委国家监委网站讯据广东省纪委监委消息日前经广东省委批准广东省纪委监委对梅州市政协原党组书记主席陈建青严重违纪违法问题进行了立案审查调查经查陈建青丧失理想信念背弃初心使命无视中央八项规定精神违规收受礼金违背组织原则不按规定报告个人有关事项在干部职务晋升中为他人谋利并收受财物违规通过民间借贷获取大额回报毫无纪法底线公器私用恣意妄为利用职务上的便利侵吞公款大搞权钱交易利用职务上的便利为他人在工程承揽获取财政资金补贴等方面谋利并非法收受巨额财物陈建青严重违反党的组织纪律廉洁纪律构成严重职务违法并涉嫌贪污受贿犯罪且在党的十八大后不收敛不收手性质严重影响恶劣应予严肃处理依据中国共产党纪律处分条例中华人民共和国监察法中华人民共和国公职人员政务处分法等有关规定经广东省纪委常委会会议研究并报广东省委批准决定给予陈建青开除党籍处分按规定取消其相应的退休待遇收缴其违纪违法所得将其涉嫌犯罪问题移送检察机关依法审查起诉所涉财物一并移送陈建青简历画中画广告画中画广告陈建青男汉族年月生广东东源人在职研究生学历年月参加工作年月加入中国共产党历任河源市连平县委书记县人大常委会主任梅州市副市长梅州市政协党组书记主席年月退休广东省纪委监委编辑姓名编辑于晓编辑姓名
反腐,中新社北京月日电记者张素记者从中国最高人民法院获悉月日河北省承德市中级人民法院一审公开开庭审理了辽宁省政协原党组副书记副主席孙远良受贿利用影响力受贿一案承德市人民检察院起诉指控称被告人孙远良利用其担任辽宁省辽阳市委副书记市长市委书记辽宁省政协副主席等职务上的便利为相关单位和个人在征占土地获取贷款职务调整等事项上提供帮助直接或通过其亲属非法收受财物共计折合人民币亿余元检察机关同时起诉指控称孙远良利用退休前担任辽宁省政协副主席等职权或地位形成的便利条件通过其他国家工作人员职务上的行为为相关单位在公司经营等方面提供帮助直接或通过其子非法收受财物共计折合人民币万余元检察机关提请以受贿罪利用影响力受贿罪追究其刑事责任庭审中孙远良进行了最后陈述并当庭表示认罪悔罪法庭宣布休庭择期宣判画中画广告画中画广告公开资料显示孙远良生于年月辽宁人年月加入中国共产党同年月参加工作年月他卸任辽宁省政协副主席等职并于退休年多后被查年月官方通报孙远良被开除党籍他被指在干部选拔任用工作中为他人谋利严重破坏任职地区和单位的政治生态自身不正家风不严对家人失管失教等值得一提的是中央纪委国家监委于今年月公开通报起违反中央八项规定精神典型问题其中包括孙远良违规收受礼金接受可能影响公正执行公务的宴请问题他被指在年至年间先后收受礼金共计万余元人民币还多次接受私营企业主在公司食堂安排的宴请饮用高档酒水相关费用均由私营企业主支付完编辑姓名编辑刘阳禾编辑姓名
反腐,年月日河北省承德市中级人民法院一审公开开庭审理了辽宁省政协原党组副书记副主席孙远良受贿利用影响力受贿一案承德市人民检察院起诉指控被告人孙远良利用其担任辽宁省辽阳市委副书记市长市委书记辽宁省政协副主席等职务上的便利为相关单位和个人在征占土地获取贷款职务调整等事项上提供帮助直接或通过其亲属非法收受财物共计折合人民币亿余元孙远良利用退休前担任辽宁省政协副主席等职权或地位形成的便利条件通过其他国家工作人员职务上的行为为相关单位在公司经营等方面提供帮助直接或通过其子非法收受财物共计折合人民币万余元检察机关提请以受贿罪利用影响力受贿罪追究孙远良的刑事责任庭审中检察机关出示了相关证据被告人孙远良及其辩护人进行了质证控辩双方在法庭的主持下充分发表了意见孙远良进行了最后陈述并当庭表示认罪悔罪庭审最后法庭宣布休庭择期宣判人大代表政协委员及社会各界群众三十余人旁听了庭审画中画广告画中画广告总台央视记者奚丹霓张赛编辑姓名编辑刘阳禾编辑姓名
反腐,内蒙古自治区纪委监委驻蒙商银行纪检监察组原组长蒙商银行党委原委员赵光炯被开除党籍和公职中央纪委国家监委网站讯据内蒙古自治区纪委监委消息经内蒙古自治区党委批准内蒙古自治区纪委监委对内蒙古自治区纪委监委驻蒙商银行纪检监察组原组长蒙商银行党委原委员赵光炯严重违纪违法问题进行了立案审查调查经查赵光炯身为纪检监察系统党员领导干部丧失理想信念背弃职责使命对党不忠诚不老实对抗组织审查无视中央八项规定精神违规接受宴请旅游体检等活动安排收受礼品礼金组织观念淡漠在组织人事方面违规为他人谋取利益在组织函询时不如实说明问题为官不廉借用管理对象钱款通过民间借贷获取大额回报任性用权违规处置上级交办的问题线索以权谋私利用职务便利及职权地位形成的便利条件为他人在组织人事工程承揽企业经营等方面谋利并非法收受巨额财物赵光炯严重违反党的政治纪律组织纪律廉洁纪律工作纪律和生活纪律构成严重职务违法并涉嫌受贿犯罪且在党的十八大后不收敛不收手性质严重影响恶劣应予严肃处理依据中国共产党纪律处分条例中华人民共和国监察法中华人民共和国公职人员政务处分法等有关规定经内蒙古自治区纪委常委会会议研究并报内蒙古自治区党委批准决定给予赵光炯开除党籍处分由内蒙古自治区监委给予其开除公职处分收缴其违纪违法所得将其涉嫌犯罪问题移送检察机关依法审查起诉所涉财物一并移送画中画广告画中画广告内蒙古自治区纪委监委编辑姓名编辑周驰编辑姓名
