tag,content
两岸,中新社台北月日电记者陈小愿台湾历史教育新三自运动协会日在台北举办记者会呼吁废除去中国化的年版课纲恢复中国史教学课纲并增加古文篇数台当局教育事务主管部门年在学界及舆论质疑中通过新版高中历史课纲将中国史纳入东亚史框架下讨论年月根据新课纲编纂的教材进入课堂嘉义大学应用历史学系教授吴昆财当天在记者会上表示民进党当局为了政治目的在年版课纲中大肆推行去中国化的历史教育企图切割台湾学生对中华民族的历史记忆与国族认同他希望能拨乱反正恢复中国史教学课纲月日台湾历史教育新三自运动协会在台北举办记者会呼吁废除去中国化的课纲恢复中国史教学课纲并增加古文篇数中新社记者陈小愿摄嘉义大学应用历史学系兼任教授王明灿表示在岛内推行去中国化意味着抛弃自己的原生文化即抛弃自己的根本我们从小的生活习惯等都来自中国文化中国文化根深蒂固不可能被去掉根据年版课纲语文课中的多篇经典古文被删去台北市立第一女子高级中学语文老师区桂芝表示中华民族浩如烟海的传统文化经典是老祖宗数千年来累积的生活经验与生命智慧在全世界兴起学习中文的潮流里民进党当局却在课纲中删去顾炎武的廉耻范仲淹的岳阳楼记荀子的劝学等经典古文去中国化的教育改革是学生老师教育长期三输的改革中华语文教育促进协会秘书长段心仪表示民进党当局美化日本殖民统治抹杀有关历史将造成年轻人对历史认知的错乱民进党当局企图建构所谓的新台湾史但无法建构新台湾地理也无法建构所谓的新台湾人基因荒谬的去中国化将影响台湾青年的竞争力及未来据介绍历史教育新三自运动协会于年月成立目的是推动历史教育自己救自己写自己教完画中画广告画中画广告编辑姓名编辑房家梁编辑姓名
两岸,港澳台专线闽台陈靖姑民俗文化旅游节启幕多家两岸机构缔结金兰中新社福州月日电叶秋云第十六届闽台陈靖姑民俗文化旅游节日在福州市梁厝特色历史文化街区启幕月日第十六届闽台陈靖姑民俗文化旅游节在福州市梁厝特色历史文化街区启幕中新社记者吕明摄跨海前来参加活动的台湾海峡两岸公共事务协会理事长魏裕国表示希望包括陈靖姑信俗文化在内的两岸民俗文化能够发挥更积极的作用使闽台加深沟通加强交流促进闽台同胞之间的情谊发展陈靖姑信俗文化发源于福州仓山出生于此的陈靖姑被称为临水夫人顺天圣母被誉为救产护胎佑民的妇女儿童保护神历经千年传承陈靖姑信俗已被列为国家级非物质文化遗产名录台湾中华顺天圣母发展协会创会理事长曾进枝说在台湾陈靖姑信俗十分兴盛一直以来该协会与福州陈靖姑故居管委会皆致力于发扬陈靖姑信俗文化积极促进两岸信俗文化交流月日多家闽台陈靖姑文化机构和团体在第十六届闽台陈靖姑民俗文化旅游节上缔结金兰中新社记者吕明摄在本届闽台陈靖姑民俗文化旅游节上来自闽台的多家陈靖姑文化机构和团体缔结为姊妹单位决定以陈靖姑信俗文化为纽带开展交流互访学术交流增进闽台文化交流与福州市陈靖姑故居结对的台湾中坜临水凤仪宫负责人王亿凤表示今后将与姊妹单位相互配合收集整理两岸陈靖姑文化传播传承的相关资料和信息深入开展闽台陈靖姑文化研究实现陈靖姑文化的学术化发展当天闽台陈靖姑文化会香颂典仪式临水文化与一带一路主题交流会也在福州梁厝特色历史文化街区同期举行临水文化与一带一路主题交流会现场分享了陈靖姑文化助力一带一路共建国家和地区华侨华人文化交流提升文化认同等方面发挥的作用据福州陈靖姑故居管委会主任郑炜介绍本届闽台陈靖姑民俗文化旅游节还将在福州陈靖姑故居安排闽台陈靖姑文化科仪交流活动深入发掘陈靖姑文化的内涵在福州市仓山区陈靖姑文化相关景点开展仓山陈靖姑文化之旅共同探讨仓山区开展陈靖姑文化主题文旅事业的发展之路完画中画广告画中画广告编辑姓名编辑曹子健编辑姓名
两岸,中新网厦门月日电记者李思源为期三天的第六届两岸社会保障论坛日在厦门落幕两岸多所高校科研院所期刊编辑部和医疗机构的多名专家学者参会共同探讨有利于增进两岸同胞福祉的社会保障体系图为厦门大学党委副书记纪委书记全海致辞厦门大学党委副书记纪委书记全海在论坛上致辞时回顾了厦门大学的历史与发展沿革希望两岸学者以人民的美好生活与共同福祉为准则携手推进两岸民生领域的交流图为第六届两岸社会保障论坛现场中国社会保障学会会长郑功成指出社会保障制度的目标是从过去的探索性改革转向全面确立与中国式现代化相适应的社会保障新制度文明核心任务在于从过去解决社会保障有无的问题转向追求高质量可持续发展重点措施是要从过去的增量改革转向优化制度结构促进制度公平金门的地理位置得天独厚为两岸发展创造诸多机遇金门县原县长李炷烽表示两岸社会保障论坛是一个很好的契机探讨两岸社会保障议题对于增进两岸关系等方面有着重要意义图为厦门大学党委常委宣传部教师工作部部长公共事务学院教授高和荣主持主旨演讲环节主旨演讲环节由厦门大学党委常委宣传部教师工作部部长公共事务学院教授高和荣主持两岸专家学者就两岸社会保障制度相关学科发展等课题进行深入交流探讨此次论坛搭建了具有权威性影响力和代表性的两岸社会保障学术平台由中国社会保障学会两岸关系和平发展协同创新中心主办厦门大学台湾研究院承办完画中画广告画中画广告编辑姓名编辑曹子健编辑姓名
两岸,中新网宁波月日电林波邬怡灵族谱详细记载了每一代祖先在外漂泊时我觉得自己就像浮萍现在终于溯源扎根我太感动了近日岁的浙江省宁波市奉化区溪口籍台胞任适正在寻亲成功后回到家乡看着族谱不禁红了眼眶任适正左一与蒋云海任幼淑右一合影邬怡灵供图任适正与姐姐任幼淑的故事始于溪口今年岁的他于两岁时跟随父亲离开故乡落脚台湾后又远赴美国因数年来辗转多地他与岁的姐姐任幼淑已经失联了年近日这对阔别已久的姐弟通过溪口镇台胞台属归侨侨眷联谊会以下简称溪口台联的协助圆满实现了重逢作为一名电影工作者任适正于年登陆上海发展当初想找姐姐的住址但没有得到有用的信息后来通过上海台联联系到了溪口台联通过他们的帮助才渐渐找到了目标任适正坦言寻找姐姐的路并不平坦溪口台联会长蒋云海于月日受访时表示得知任适正的诉求后他立刻发动台联系统中的寻亲志愿服务队展开行动分别查询族谱台联登记信息等并联系公安经过三天的紧张搜索这支团队终于在信息的海洋中找到了任幼淑的相关信息蒋云海先生帮我介绍了本家任氏的远亲通过族谱才找到我姐姐的地址还找到了我的父亲祖父和曾祖父甚至找到了我侄儿的联络方式任适正表示任氏族谱记录了每一代人的生平和住址近日任适正回到故乡溪口这次溪口之行对他而言不仅是一次姐弟团圆更是对过去对故乡的一次深刻回望在寻根的过程中他发现了父辈曾经参与抗战的遗址并被这段历史的光辉所感动我在扫墓时看到墓前有一道壕沟同行的人说这道壕沟是当时溪口抗日作战的遗址真了不起原来任适正的父亲曾是抗日战争时期的一位战士他说年前父亲带着我回到溪口祭祖年后再来父亲已经过世了我们家族在外的兄弟姐妹听我说了近况都想来老家看看祭拜祖先小时候父亲喜欢做黄鱼年糕酱蟹给我吃到了溪口才发现原来这就是正宗的家乡味道在任适正眼中如今的家乡道路整洁建筑古朴剡溪河畔灯光如昼他期许能有更多在外家人归家看看任适正与家人的相聚为这个冬日增添了一抹温暖的色彩据了解自溪口台联组织成立寻亲志愿服务队以来一直致力于帮助两岸台胞台属寻找失联亲人线索累计寻亲余人例如其曾帮助奉化区新建村村民唐财菊在阔别余年后找到在台亲属完画中画广告画中画广告编辑姓名编辑孙静波编辑姓名
两岸,中新网厦门月日电杨伏山陈雨晴彰中国情怀展国粹之美第五届海峡两岸厦门旗袍文化节暨全球华服风尚盛典日晚在厦门举办星光红毯颁奖盛典来自海峡两岸和世界各地的旗袍佳丽和旗袍爱好者秀出自我展现独特的东方之美星光红毯颁奖盛典日晚举行中新网记者杨伏山摄为期天的这场关于旗袍的交流对话华服的展示演绎及国粹的传承发扬活动让每一位女性都得以在此舞台上散发出自信之美台湾创意珠宝设计师协会创会会长王月要在接受中新网记者采访时称这个活动的举办能够激励更多女性从家庭走到舞台走向社会魅力太强大了由厦门市妇女联合会指导厦门市委台港澳办公室和厦门市台湾同胞联谊会支持由厦门国际时尚联合会厦门市旗袍文化协会主办的本届盛会以中国情怀国粹之美为主题当晚的星光红毯颁奖盛典对本届大赛最终评选出的华服设计赛旗袍亲子秀个人赛旗袍团体赛等个奖项金银铜奖进行了颁奖主办方说在当天举行的跨界论坛中国际著名服装设计师中国服装设计师协会副主席中国设计师最高奖金顶奖获得者计文波中国服装设计师协会学术委员刘葆发台湾创意珠宝设计师协会创会会长王月要厦门国际时尚联合会副主席蔡丽娟厦门市旗袍文化协会会长韩淑芹等嘉宾莅会共同探讨旗袍文化所体现的民族文化与精神旗袍在新时代背景下如何实现时尚创新与传承弘扬以及未来发展的趋势等话题担任第五届海峡两岸旗袍文化节评委的王月要认为无论团体赛或个人赛选手都是老中青皆有有年轻化趋势旗袍带给每一位女性美的一个视觉响应让每一位女性由内而外散发出不同的独特的魅力显得非常自信非常的棒台湾创意珠宝设计师协会创会会长王月要接受媒体记者采访中新网记者杨伏山摄王月要在台湾从事旗袍推广与传承已长达多年她说文化节的举办对两岸旗袍文化的交流推广发挥了很大的作用希望能藉此让两岸爱好旗袍的女性能够让旗袍来强化两岸同胞情让旗袍文化融入日常生活当中得到不断的传承与发扬此次文化节盛典期间华服设计大赛登场专业旗袍专家新锐设计师同台竞技将传统华服结合新时代的风尚创新设计为传统华服注入现代化的时尚元素由海内外旗袍佳丽们带来的旗袍个人大赛团体大赛以最优雅的姿态别开生面的演绎向观众展示着独属于东方传统与时尚的韵美诠释典雅曼妙的风姿盛典之前现场排练中新网记者杨伏山摄在旗袍亲子秀环节亲子组合上场展示演绎秀美旗袍展现了民族传统文化与民族精神的传承和延续韩淑芹对记者说这是一场汇聚海峡两岸乃至海外华侨同胞的旗袍盛会通过不同的活动赛事环节集结文化国粹时尚美学等诸多元素让传统华服以全新的形式亮相激发人们对传统旗袍文化的热爱也让来自世界各地的旗袍佳丽和旗袍爱好者们秀出自我展现独特的东方美经过五年孕育海峡两岸旗袍文化节现已成长为厦门地标性国际文化盛典和城市多元文化展示平台韩淑芹表示将持续办好海峡两岸旗袍文化节将品牌和文化内涵延续下去将中国传统服饰融入城市形象名片连接海峡两岸的文化交流与民族情缘完画中画广告画中画广告编辑姓名编辑曹子健编辑姓名
两岸,中新网北京月日电台湾经济日报近日发表了介绍湖北省天门市的报道讲述了天门白龙寺的建筑特色白龙寺图片来源台湾经济日报报道称天门市古称竟陵有丰富的文物古迹其中著名的佛寺白龙寺相传始建于南朝重建于明代后渐失修现仅存殿宇两栋白龙寺是湖北省内为数不多的明代寺院建筑其建筑形制和构件展现了明代建筑与地方建筑结合的风格特征是研究湖北明代地方建筑的重要实物例证白龙寺图片来源台湾经济日报相传因白龙寺引水解救一方生灵民众在五华山北麓设祭坛以祀南朝齐武帝肖赜次子竟陵王肖子良将祭坛改建为佛寺依坛取名为白龙寺迄今已有余年唐鄂国公尉迟敬德将寺院扩建重修使其拥有前殿大雄宝殿后殿大悲殿五云堂五华清憩官房禅堂等建筑群体规模宏大气势雄伟工艺精湛明正德八年嘉靖十五年白龙寺又经几番装修使其廓隘而宏易敞而整以为改规不啻倍蓰寺内碑文载道栋楹穹窿撑柱霄汉丹碧辉煌晃耀星日明文学家李濂留下诗句白龙寺倚五华山寺下长汀抱楚关年以来白龙寺经多次维修后恢复了当年风姿龙脊兽瓦红墙朱门重檐拱斗兽鸟嵌扉历代建筑艺术风格怡然自存大雄宝殿楹柱根中柱十字通风两米合围旁柱斜断落基千年不动炎夏不汗丝尘不染大雄宝殿供有如来佛阿弥陀佛药师佛观世音善才龙女文殊普贤十八罗汉造形各异弦金绘彩形神兼备栩栩如生完画中画广告画中画广告编辑姓名编辑姜雨薇编辑姓名
两岸,中新网北京月日电台湾经济日报近日发表了介绍湖北省天门市的报道探秘当地石家河遗址找寻中华文明起源石家河遗址图片来源台湾经济日报报道称石家河遗址是湖北天门的一处新石器时代遗址位于长江中游腹地江汉平原北部与大洪山南麓结合处的山前地带地处石家河镇总面积达平方公里由多处遗址点组成年代跨度距今至年是长江中游地区迄今发现的分布面积最大保存最完整的新石器时代聚落遗址是中华文明的起源地之一由它命名的石家河文化代表了长江中游地区史前文化发展的最高水准图为石家河遗址挖掘现场图片来源台湾经济日报石家河遗址的发现颇为传奇年冬天门京山两县联合修建石龙水库干渠开挖到天门县石家河镇地段时发现大量石器陶器等古代遗存随后中国科学院考古研究所研究人员对其进行考察于年初春对水渠沿线的几处重点遗址进行抢救性发掘发掘面积约平方米其中罗家柏岭发掘面积平方米自此拉开石家河遗址考古的序幕是江汉地区史前考古的第一次奠基图为石家河遗址出土的玉器图片来源台湾经济日报年至今大陆文物部门组织的石家河考古队已先后对该遗址进行了逾次规模不等的考古发掘发现了丰富的遗迹和遗物对于研究长江中游地区史前文化发展编年和聚落的形成发展与衰落具有典型意义年月石家河遗址被评为中国世纪百项考古重大发现之一近年来石家河考古队对石家河遗址进行了大规模发掘工作获得重大发现图为石家河遗址出土的玉器图片来源台湾经济日报石家河文化谭家岭遗址发掘点出土余件极其珍贵的精美玉器如双人连体头像玉玦虎座双鹰玉饰玉牌饰虎形玉冠饰玉虎玉鹰玉钺等以玉蝉玉管玉珠玉虎的数量最多这些玉器普遍使用的圆雕透雕减地阳刻工艺浅浮雕线刻工艺代表了当时中国乃至东亚地区玉器加工技艺的最高峰完画中画广告画中画广告编辑姓名编辑姜雨薇编辑姓名
两岸,天气转凉呼吸道传染病高发的冬季应时而来月日有台湾药师召开记者会指出台湾基层医疗机构正面临缺药困难有基层药局反映儿童退烧糖浆已短缺两个月若感染高峰到来六个月以下的婴幼儿恐无退烧糖浆可用台湾缺药非仅当下据台媒报道年底台湾就出现了对乙酰氨基酚短缺情况年年初开始抗生素止痛药退烧药等常用药品持续短缺三四月间台媒纷纷以年最大缺药潮来形容此次药物短缺的严重程度近日也有医师示警专门用于治疗小儿支原体感染的原厂抗生素药水已短缺一年多从年初到年尾台湾缺药何时了据台媒报道为应对缺药问题今年月日台当局卫生福利主管部门将昔日的药品供应通报平台升级为药品供应通报处理中心资料图图片来源中新视频截图令人失望的是功能并未提升联合报月日有评论文章指出必须要检讨的是既然有专责通报处理中心就应该对缺药问题有所因应及作为专门用于治疗小儿支原体感染的原厂抗生素缺货一年多却直到月底才说要增加进口月份才要大量生产学名药与原厂药相对应由台湾本地制药厂生产民众不禁纳闷前面大半年的时间是做什么为什么非得等到火烧屁股才要动起来文章分析指出这一通报平台升级为通报处理中心似乎也仅限于受理通报登录及建议替代学名药无法期待充分掌握药品供应情形更因欠缺主动查核管理机制遑论发挥调度功能据台媒报道每当有药品短缺台行政当局食药署都会呼吁民众改用同成分同剂型同剂量的学名药有数据显示年学名药占台湾民众用药量的使用比例可谓大幅提高但在支出方面的占比却相反此前便有媒体评论指出民进党当局为管控药费支出药价砍到见骨过度削减药品价格也是导致台湾缺药的关键因素之一资料图图片来源中新视频截图月日的记者会上中国国民党籍民意代表林为洲认为食药署总是要业者登录平台反映问题却缺少主动查核也无法掌握药品调度情况他呼吁食药署建立机制专人专线处理社区药局缺药问题并提高缺药议题的讨论层级台湾公教军警消联合总会副总会长药师沈采颖认为基层药局缺药也是台湾分级医疗弊病的照妖镜如今药品集中在大型医学中心基层民众一药难求建议以更合理比例分配药物同日台行政当局卫福部疾管署副署长罗一钧在另一场记者会上称支原体肺炎在台湾尚处低流行状态相关药物整备充足无短缺疑虑相较卫福部官员的老神在在一线医护人员却绷紧神经联合报的评论文章指出其中关键是机制僵化的问题即使基层通报缺货也未能及时连结进口及生产端须知药品进口或药厂生产都需要一定的前置时间卫生福利主管部门空有专责单位但是神经传导缓慢未能未雨绸缪疫情趋紧才要抢药抢原料不仅事倍功半更凭添变量面对缺药及抗药性的挑战民众只能自求多福口罩戴紧一点记者舒颐诸皓画中画广告画中画广告编辑姓名编辑叶攀编辑姓名
两岸,中新社梧州月日电张广权从事茶叶生意余年的台湾商人范纲胜最近几年把目光投向大陆西部月日范纲胜与台湾同行来到岭南重镇广西梧州市探寻茶产业新商机年第三届桂台梧州茶产业创新发展论坛暨茶叶交易会当天在梧州开幕范纲胜带领企业团队参展他在展位上打出醒目招牌寻求合作月日梧台茶产业交流合作框架协议签约仪式俞靖摄茶叶自古以来就是中国与东盟国家经贸往来的重要商品之一广西作为中国与东盟国家之间的门户是中国通往东盟的重要通道广西与台湾在茶叶花卉等领域保持着良好合作广西的茶叶出口东盟有着悠久历史双方在茶叶种植加工贸易等方面有着广泛的合作基础范纲胜称台商可以通过广西的港口口岸和边境贸易等渠道便捷地进入东盟市场并利用广西的物流网络将茶叶输送到东盟国家梧州市市长李振品介绍梧州是中国名茶之乡当地具有千年传承历史的名茶六堡茶深受市场欢迎畅销东盟及欧美目前梧州六堡茶茶园面积达万亩年产量万吨产值超亿元人民币李振品希望两岸在茶产业领域持续深化交流合作达成更多成果广西台办副主任林承格在致辞中表示两岸同胞同根同源同文同种是血脉相连命运与共的一家人广西台办将支持梧州与台湾加强交流合作推动互访互鉴深化交流交心助力梧州成为广大台胞台企投资兴业的乐土梧州与台湾同处北回归线地理气候条件相似茶叶种植两地皆宜合作天时地利人和梧州市副市长李广勇表示台湾在有机茶园精致农业休闲观光农业等方面具有先进的经营管理理念希望借助台湾先进的经营管理理念推动梧台经贸文化交流助力茶船古道再扬帆当天两岸茶业专家学者及业内人士余人相聚畅叙茶情深化两岸茶产业交流合作梧州市茶业商会与台湾茶协会台湾区茶输出业同业公会和高雄市茶艺促进会签订交流合作框架协议活动期间还同期开展桂台茶产业名品展茶叶交易会茶市雅集等活动完画中画广告画中画广告编辑姓名编辑刘阳禾编辑姓名
两岸,中新社北京月日电题福建条显现两岸融合发展方向不变力度加大中新社记者容海升福建近日公布贯彻落实中共中央国务院关于支持福建探索海峡两岸融合发展新路建设两岸融合发展示范区的意见简称意见首批条政策措施中央大力支持之下福建四方面条具体实在的措施透露出大陆方面推动两岸融合发展方向不变力度加大福建方面透露意见月日出台后中共中央台办国家发展改革委等个部委当月日赴闽开专题会议在中央出台一系列政策措施的基础上福建进一步制定措施第一批包含台湾居民居住证办理时限由法定个工作日优化至个工作日周岁及以上台胞可免费乘坐城市公共交通工具为来闽就业创业的台湾青年提供一定期限的过渡免费住房和公共租赁住房等画中画广告画中画广告在闽生活工作的台胞第一时间感受其中诚意认知今后可更加便捷实现与福建居民同等待遇一些细腻的开放举措直接惠及细分群体如台湾律师吴蒨告诉媒体新举措包含明年安排人次台湾地区法科学生到福建检察机关实习实训这还是第一次无疑进一步拓展了台胞参与大陆法治建设的渠道毋庸讳言近年两岸正常交流往来面对种种限制挑战困难很多福建推出条一方面显示出大陆对台政策方向不变即便困难很大仍决心不断探索两岸融合发展新路从早期强调经济融合走向包含社会文化等各领域的深化融合发展并且融合发展从政治论述向着中央及地方各方面政策配套以及措施落地后鲜活的两岸往来互动转化要让两岸的同胞能够体面地安全地方便地低成本地生活在一起另一方面条也透露出大陆对台工作力度加大实现台胞与大陆居民同等待遇要向困难领域迈进意见中多处提及发挥福建独特优势和先行先试作用如坚持问题导向突出先行先试扩大授权赋能持续推进政策和制度创新等表述表明中央在福建全域建设示范区有决心打破更多条条框框的障碍并积累经验未来以点带面作进一步推广观察家也注意到民进党当局以不切实际一厢情愿等言辞回应意见及两岸融合发展前景但关心台海局势的人们可以注意曾作为战地的金门厦门两地朝向一个共同生活圈所作的探索新冠疫情趋缓小三通复航后金厦之间各种联结纽带快速恢复福建条等新增政策措施有助于更多台生台胞台企着眼闽台合作作出前瞻规划以前难以想象的厦金大桥今年已有金门民间团体发动连署要以公投形式向台当局反映当地乡亲建设这座大桥的愿望对于和平发展大陆展现诚意决心相信未来会有更多台湾民众和金门乡亲一样在共享实实在在的和平红利中建立起对于融合发展的信心完编辑姓名编辑刘阳禾编辑姓名
