field,class,rule,label,important,alias,needadj
学术,奖学金,奖学金,奖学金,50,SCHOLARSHIP,1
获奖,称号,三好学生 ,三号学生,30,OTHER_AWARD,1
获奖,称号,优秀学生,优秀学生,20,OTHER_AWARD,1
获奖,称号,优秀学生干部 优秀干部 优秀共青团干部 优秀团干,优秀干部,30,OTHER_AWARD,1
获奖,称号,优秀团员 优秀共青团员,优秀团员,20,OTHER_AWARD,1
获奖,称号,优秀党员,优秀党员,20,OTHER_AWARD,1
学术,论文,science nature,顶级论文,100,SCHOLARSHIP,1
学术,论文,scie ei istp ssci a&hci,高级论文,70,SCHOLARSHIP,1
学术,论文,重要核心刊物,核心期刊论文,40,CO,1
才艺,文艺,跑步 高尔夫 羽毛球 羽毛球 游泳 乒乓球 冰球 篮球 旱冰,体育达人,20,CO,0
才艺,文艺,钢管舞 街舞 民族舞 芭蕾舞 桑巴舞,舞蹈达人,30,CO,0
才艺,文艺,提琴 笛 琵琶 古筝 美声 通俗音乐 说唱 吉他 钢琴 贝斯 架子鼓 京剧 葫芦丝 乐器,音乐达人,30,CO,0
才艺,文艺,素描 速写 油画 书法 水彩 水粉,美术达人,20,CO,0
才艺,文艺,陶艺 手工 摄影 插花 茶艺 编织 剪纸,小清新爱好者,20,CO,0
才艺,文艺,小品 相声 主持 配音 话剧,演出达人,30,CO,0
才艺,文艺,文案 写作,文作达人,20,CO,0
经历,社团,主席,社团主席,50,POSITION,1
经历,社团,班长 班干部 学习委员 生活委员 宣传委员 团支书,班级干部,40,POSITION,1
经历,社团,会长 部长 秘书处 学习部 宣传部 文艺部 体育部 外联部 科技部 技术部 实践部 组织部 纪律部 社团部,社团历练,30,POSITION,1
获奖,竞赛,建模竞赛  物理竞赛 数学竞赛 化学竞赛,理科竞赛,50,OTHER_AWARD,1
获奖,竞赛,综合能力竞赛 电子设计大赛 自动化大赛 制造挑战赛 科技竞赛 科技学术竞赛 汽车竞赛 机器人大赛 ,能力竞赛,50,OTHER_AWARD,1
获奖,竞赛,英语竞赛 英语演讲,英语竞赛,40,OTHER_AWARD,1
获奖,竞赛,创业大赛,创业竞赛,40,OTHER_AWARD,1
获奖,竞赛,演讲大赛,演讲竞赛,50,OTHER_AWARD,1
能力,编程,c语言 pascal basic vb fortran,基础编程,20,CC,1
能力,编程,java c++ dotnet .net c#,高级编程,20,CC,1
能力,编程,html css html5 jquery php dreamweaver fireworks,前端编程,20,CC,1
能力,编程,jsp javascript python pearl ruby,脚本编程,20,CC,1
能力,编程,spring ssh boot cloud,后端编程,20,CC,1
能力,编程,android ios,移动编程,30,CC,1
能力,编程,mysql sqlserver oracle hbase db2,数据库编程,20,CC,1
能力,办公,eviews spss ,统计软件,20,CC,1
能力,办公,word 办公软件 excel 电子表格 ppt powerpoint ,日常办公,30,CC,1
能力,办公,photoshop 图片处理,图片处理,40,CC,1
能力,办公,flash 视频处理 动画制作 ,视频制作,40,CC,1
认证,外语,英语四级 英语六级,英语,50,COMPETENCY_ADV,1
认证,外语,日语 阿拉伯语 拉丁语 葡萄牙语 西班牙语 法语 德语 罗马尼亚语,小语种,70,COMPETENCY_ADV,1
认证,证书,雅思 IELTS 托福 TOEFL 剑桥商务英语 BEC 托业 TOEIC 专业英语八级,英语认证,70,COMPETENCY_ADV,1
认证,证书,计算机一级 计算机二级 计算机三级 计算机等级一级 计算机等级二级 计算机等级三级,计算机认证,30,CC,1
认证,证书,网络工程师 软件工程师 系统架构师,专业软工认证,50,CC,1
认证,证书,cfa 证券从业资格证 cfca afp cfp fsa fia ciia frm cfrm cpa acca cia cpv,金融认证,80,COMPETENCY_ADV,1
个性,性格,善于交流沟通 性格外向 团队协作 组织协作,沟通能力,20,CA,0
个性,性格,任劳任怨 听从领导安排 能吃苦 加班 敢打敢拼 上进心强 责任心 ,吃苦耐劳,20,CA,0
个性,性格,爱创新 新点子 发明创造 思维活跃,创新能力,30,CA,0
