date,bitcoin_price,future_price,gold_price,oil_price,future_date
2014/9/17,457.33,457.33,1225.7,97.7,2014/9/24
2014/9/18,424.44,424.44,1215.3,98.39,2014/9/25
2014/9/19,394.8,394.8,1215.3,98.39,2014/9/26
2014/9/20,408.9,408.9,1215.3,98.39,2014/9/27
2014/9/21,398.82,398.82,1216.8,96.97,2014/9/28
2014/9/22,402.15,402.15,1221,96.85,2014/9/29
2014/9/23,435.79,435.79,1218.6,96.95,2014/9/30
2014/9/24,423.2,423.2,1221.2,97,2014/10/1
2014/9/25,411.57,411.57,1214.1,97,2014/10/2
2014/9/26,404.42,404.42,1214.1,97,2014/10/3
2014/9/27,399.52,399.52,1214.1,97,2014/10/4
2014/9/28,377.18,377.18,1217.5,97.2,2014/10/5
2014/9/29,375.47,375.47,1217.5,97.2,2014/10/6
2014/9/30,386.94,386.94,1214.6,94.16,2014/10/7
2014/10/1,383.61,383.61,1214.2,93.42,2014/10/8
2014/10/2,375.07,375.07,1192.2,92.31,2014/10/9
2014/10/3,359.51,359.51,1192.2,92.31,2014/10/10
2014/10/4,328.87,328.87,1192.2,92.31,2014/10/11
2014/10/5,320.51,320.51,1206.7,92.79,2014/10/12
2014/10/6,330.08,330.08,1211.7,92.11,2014/10/13
2014/10/7,336.19,336.19,1205.3,91.38,2014/10/14
2014/10/8,352.94,352.94,1224.6,90.05,2014/10/15
2014/10/9,365.03,365.03,1221,90.21,2014/10/16
2014/10/10,361.56,361.56,1221,90.21,2014/10/17
2014/10/11,362.3,362.3,1221,90.21,2014/10/18
2014/10/12,378.55,378.55,1229.3,88.89,2014/10/19
2014/10/13,390.41,390.41,1233.6,85.04,2014/10/20
2014/10/14,400.87,400.87,1244.1,83.78,2014/10/21
2014/10/15,394.77,394.77,1240.5,84.47,2014/10/22
2014/10/16,382.56,382.56,1238.3,84.54,2014/10/23
2014/10/17,383.76,383.76,1238.3,84.54,2014/10/24
2014/10/18,391.44,391.44,1238.3,84.54,2014/10/25
2014/10/19,389.55,389.55,1244,85.4,2014/10/26
2014/10/20,382.85,382.85,1251,86.22,2014/10/27
2014/10/21,386.48,386.48,1244.8,84.71,2014/10/28
2014/10/22,383.16,383.16,1228.5,86.83,2014/10/29
2014/10/23,358.42,358.42,1231.2,86.13,2014/10/30
2014/10/24,358.35,358.35,1231.2,86.13,2014/10/31
2014/10/25,347.27,347.27,1231.2,86.13,2014/11/1
2014/10/26,354.7,354.7,1229.1,85.83,2014/11/2
2014/10/27,352.99,352.99,1229.2,86.03,2014/11/3
2014/10/28,357.62,357.62,1224.3,87.12,2014/11/4
2014/10/29,335.59,335.59,1198.1,86.24,2014/11/5
2014/10/30,345.3,345.3,1171.1,85.86,2014/11/6
2014/10/31,338.32,338.32,1171.1,85.86,2014/11/7
2014/11/1,325.75,325.75,1171.1,85.86,2014/11/8
2014/11/2,325.89,325.89,1171.1,85.86,2014/11/9
2014/11/3,327.55,327.55,1169.4,84.78,2014/11/10
2014/11/4,330.49,330.49,1167.4,82.82,2014/11/11
2014/11/5,339.49,339.49,1145.4,82.95,2014/11/12
2014/11/6,349.29,349.29,1142.3,82.86,2014/11/13
2014/11/7,342.42,342.42,1169.6,83.39,2014/11/14
2014/11/8,345.49,345.49,1169.6,83.39,2014/11/15
2014/11/9,363.26,363.26,1169.6,83.39,2014/11/16
2014/11/10,366.92,366.92,1159.6,82.34,2014/11/17
2014/11/11,367.7,367.7,1162.8,81.67,2014/11/18
2014/11/12,423.56,423.56,1158.9,80.38,2014/11/19
2014/11/13,420.73,420.73,1161.1,77.92,2014/11/20
2014/11/14,397.82,397.82,1185,77.74,2014/11/21
2014/11/15,376.13,376.13,1185,77.74,2014/11/22
2014/11/16,387.88,387.88,1185,77.74,2014/11/23
2014/11/17,387.41,387.41,1183,79.31,2014/11/24
2014/11/18,375.2,375.2,1196.7,78.47,2014/11/25
2014/11/19,380.55,380.55,1193.6,78.1,2014/11/26
2014/11/20,357.84,357.84,1190.7,79.33,2014/11/27
2014/11/21,350.85,350.85,1197.5,80.36,2014/11/28
2014/11/22,352.92,352.92,1197.5,80.36,2014/11/29
2014/11/23,367.57,367.57,1197.5,80.36,2014/11/30
2014/11/24,376.9,376.9,1195.5,79.68,2014/12/1
2014/11/25,375.35,375.35,1197.1,78.33,2014/12/2
2014/11/26,368.37,368.37,1196.6,77.75,2014/12/3
2014/11/27,369.67,369.67,1196.6,77.75,2014/12/4
2014/11/28,376.45,376.45,1175.2,70.15,2014/12/5
2014/11/29,375.49,375.49,1175.2,70.15,2014/12/6
2014/11/30,378.05,378.05,1175.2,70.15,2014/12/7
2014/12/1,379.24,379.24,1218,72.54,2014/12/8
2014/12/2,381.32,381.32,1199.2,70.54,2014/12/9
2014/12/3,375.01,375.01,1208.5,69.92,2014/12/10
2014/12/4,369.6,369.6,1207.5,69.64,2014/12/11
2014/12/5,376.85,376.85,1190.1,69.07,2014/12/12
2014/12/6,374.79,374.79,1190.1,69.07,2014/12/13
2014/12/7,375.1,375.1,1190.1,69.07,2014/12/14
2014/12/8,361.91,361.91,1194.7,66.19,2014/12/15
2014/12/9,352.22,352.22,1231.5,66.84,2014/12/16
2014/12/10,346.36,346.36,1228.9,64.24,2014/12/17
2014/12/11,350.51,350.51,1225.1,63.68,2014/12/18
2014/12/12,352.54,352.54,1222,61.85,2014/12/19
2014/12/13,347.38,347.38,1222,61.85,2014/12/20
2014/12/14,351.63,351.63,1222,61.85,2014/12/21
2014/12/15,345.35,345.35,1207.2,61.06,2014/12/22
2014/12/16,327.06,327.06,1193.9,59.86,2014/12/23
2014/12/17,319.78,319.78,1194.3,59.8,2014/12/24
2014/12/18,311.4,311.4,1194.7,59.27,2014/12/25
2014/12/19,317.84,317.84,1195.9,61.38,2014/12/26
2014/12/20,329.96,329.96,1195.9,61.38,2014/12/27
2014/12/21,320.84,320.84,1195.9,61.38,2014/12/28
2014/12/22,331.89,331.89,1179.7,60.11,2014/12/29
2014/12/23,334.57,334.57,1177.9,61.69,2014/12/30
2014/12/24,322.53,322.53,1173.5,60.24,2014/12/31
2014/12/25,319.01,319.01,1173.5,60.24,2015/1/1
2014/12/26,327.92,327.92,1195.3,59.45,2015/1/2
2014/12/27,315.86,315.86,1195.3,59.45,2015/1/3
2014/12/28,317.24,317.24,1195.3,59.45,2015/1/4
2014/12/29,312.67,312.67,1181.7,57.88,2015/1/5
2014/12/30,310.74,310.74,1200.2,57.9,2015/1/6
2014/12/31,320.19,320.19,1200.2,57.9,2015/1/7
2015/1/1,314.25,314.25,1200.2,57.9,2015/1/8
2015/1/2,315.03,315.03,1186,56.42,2015/1/9
2015/1/3,281.08,281.08,1186,56.42,2015/1/10
2015/1/4,264.2,264.2,1186,56.42,2015/1/11
2015/1/5,274.47,274.47,1203.9,53.11,2015/1/12
2015/1/6,286.19,286.19,1219.3,51.1,2015/1/13
2015/1/7,294.34,294.34,1210.6,51.15,2015/1/14
2015/1/8,283.35,283.35,1208.4,50.96,2015/1/15
2015/1/9,290.41,290.41,1216,50.11,2015/1/16
2015/1/10,274.8,274.8,1216,50.11,2015/1/17
2015/1/11,265.66,265.66,1216,50.11,2015/1/18
2015/1/12,267.8,267.8,1232.7,47.43,2015/1/19
2015/1/13,225.86,225.86,1234.3,46.59,2015/1/20
2015/1/14,178.1,178.1,1234.4,48.69,2015/1/21
2015/1/15,209.84,209.84,1264.7,47.67,2015/1/22
2015/1/16,208.1,208.1,1276.9,47.69,2015/1/23
2015/1/17,199.26,199.26,1276.9,47.69,2015/1/24
2015/1/18,210.34,210.34,1276.9,47.69,2015/1/25
2015/1/19,214.86,214.86,1276.9,47.69,2015/1/26
2015/1/20,211.32,211.32,1294.2,47.99,2015/1/27
2015/1/21,226.9,226.9,1293.7,49.03,2015/1/28
2015/1/22,233.41,233.41,1300.7,48.52,2015/1/29
2015/1/23,232.88,232.88,1292.6,48.79,2015/1/30
2015/1/24,247.85,247.85,1292.6,48.79,2015/1/31
2015/1/25,253.72,253.72,1292.6,48.79,2015/2/1
