label,content
科技,大连市实施《中华人民共和国中小企业促进法》办法(2005年5月9日大连市人民政府令第67号公布 自2005年7月1日起施行)第一章总 则第一条为贯彻实施《中华人民共和国中小企业促进法》，改善中小企业经营环境，扩大就业，促进中小企业健康发展，制定本办法。第二条在大连市行政区域内依法登记注册的中小企业，适用本办法。中小企业划分标准按照国家有关规定执行。第三条市政府中小企业工作部门负责组织实施全市中小企业发展政策和规划，对中小企业工作进行综合协调、指导和服务。市政府有关部门在各自职责范围内对中小企业工作进行指导和服务。各区、市、县政府和大连经济技术开发区、大连保税区、大连高新技术产业园区（以下统称先导区）管委会及其所属的中小企业工作部门和其他有关部门在各自职责范围内，负责对本行政区域内的中小企业工作进行指导和服务。第四条市政府中小企业工作部门应根据国家制定的中小企业发展产业政策，结合全市中小企业发展实际，确定重点扶持和优先发展的产业及产业集群。第五条依法保护中小企业及其出资人的合法投资，以及因投资取得的合法权益。任何单位和个人不得侵犯中小企业的财产及其合法收益。第六条除法律、法规和按照国家、
科技,省规定管理权限设定的行政事业性收费外，任何单位和个人不得向中小企业收取其他行政事业性费用；不得向中小企业摊派财物；不得违反法律、法规和规章规定向中小企业罚款。对违反规定收费、摊派和罚款的，中小企业有权拒绝，并可以向有关部门举报和投诉。第七条任何单位和个人不得歧视中小企业，不得附加不平等的交易条件。歧视中小企业或附加不平等交易条件的，中小企业有权要求取消歧视或不平等的交易条件，并向中小企业工作部门或其他有关部门举报和投诉。第八条中小企业必须遵守法律、法规，依法经营管理，依法纳税，依法为职工缴纳社会保险费，不得侵害职工的合法权益，不得损害社会公共利益。中小企业经营者应当遵守职业道德，恪守诚实信用原则，努力提高业务水平，增强自我发展能力。第九条建立中小企业统计制度。具体办法由市中小企业工作部门会同市统计部门制定。第二章资金支持第十条市政府通过财政预算设立民营经济和中小企业发展专项资金，每年计划安排资金不少于5000万元。各区、市、县政府和先导区管委会应每年安排一定资金，支持中小企业发展。民营经济和中小企业发展专项资金的使用和管理，由市财政部门会同市中小企业工作部门提出意见，报市政府批准后执行
科技,。第十一条金融机构应当拓展服务领域，调整信贷结构，开发适应中小企业发展的金融创新产品，积极为中小企业提供信贷、结算、财务咨询、投资管理等方面的服务。对信誉良好、无违法违规的企业，应实行信用贷款。第十二条建立中小企业信用制度。以电子政务网络平台为基础，通过经济行政管理、司法、金融等相关部门提供的企业经营信用、资本信用、质量信用、纳税信用和法人信用等情况，建立大连市中小企业信用征集、信用等级评价体系，实现中小企业信用信息查询、服务与共享的社会化。政府和先导区管委会应建立中小企业信用评价、征集、管理、信息发布等制度。第十三条政府和先导区管委会应对拟上市中小企业提供法律和政策咨询服务，支持中小企业在境内外上市融资。引导、支持中小企业通过典当、风险投资、招商引资等渠道融资。中小企业应当积极创造条件，通过法律、法规允许的各种方式直接融资。第十四条继续完善中小企业信用担保体系。市政府采取措施，加大对中小企业信用担保机构的支持力度，为中小企业融资创造条件。鼓励和支持法人资本和民间个人资本进入中小企业信用担保领域。鼓励中小企业依法开展多种形式的互助性融资担保。依法设立的中小企业信用担保机构，符合国家免税
科技,条件的，自主管税务机关办理免税手续之日起，三年内免征营业税。第十五条市中小企业工作部门应当会同有关部门根据国家信用担保行业准入条件，建立、完善信用担保机构风险控制和奖励制度，完善运行机制，加强对各类中小企业信用担保机构的监管、指导、协调和服务，支持中小企业信用担保机构拓展业务。第十六条政府和先导区管委会应采取奖励措施，鼓励各类依法设立的风险投资机构开展风险投资业务，增加对中小企业的投资。完善产权市场，推动建立风险投资股权的退出机制。第三章创业扶持第十七条鼓励创办中小企业。凡国家法律、法规没有明令禁止的经营领域，中小企业都可以进入并依法从事经营，任何单位和个人不得加以限制。对初创的中小企业，政府和先导区管委会有关部门应在规划、用地、放宽注册资本登记等方面予以支持。允许通过土地整理、置换、集体建设用地使用权流转等办法解决中小企业建设用地；对初创的小企业，可按照行业特点降低公司注册资本限额，允许注册资金分期到位，减免登记注册费用。中小企业集体建设用地流转，按照《大连市集体建设用地使用权流转管理暂行办法》规定执行。第十八条鼓励自然人或者企业法人依法以工业产权或者非专利技术等投资参与创办中小企业
科技,。允许以管理才能、技术专长等人力资本作价入股，其出资比例由全体股东协议确定。以高新技术成果出资创办新企业的，对其出资所占注册资本的比例可不做限制。第十九条鼓励中小企业吸纳失业人员（含失地的农转城人员，下同）和大中专院校毕业生就业。吸纳大中专毕业生就业，外地生源符合我市当年落户政策的，可以办理落户手续。第二十条对下列中小企业，税务部门应落实国家扶持中小企业发展的税收优惠政策，并主动指导和帮助其申办减、免税手续：（一）失业人员创办的中小企业；（二）当年吸纳失业人员达到国家规定比例、符合减免税范围的中小企业；（三）安置残疾人员达到国家规定比例的生产性中小企业；（四）符合国家支持和鼓励发展政策的高新技术中小企业；（五）国家规定享受优惠政策的其他中小企业。第二十一条各级行政服务中心应为创办中小企业的单位和个人，提供各种免费咨询和信息服务。对拟创办中小企业的失业人员、留学归国人员、大中专院校毕业生等，由政府资助免费进行创业辅导。第二十二条鼓励利用闲置厂房、场地和楼宇建立中小企业孵化器。通过租金补助方式扶持进入市政府认定的市级孵化器的新建中小企业。第四章 技术创新第二十三条鼓励中小企业按照市场需要，
科技,开发新产品，采用先进技术、生产工艺和设备，提高产品质量，实现技术进步。经市科技行政管理部门和市中小企业工作部门认定的市级中小企业技术创新项目，以及各类技术服务机构、生产力促进中心和科技企业孵化器，可申请应用技术与开发资金、软件产业发展专项资金、工业发展资金等政策支持。第二十四条鼓励中小企业设立技术中心。经市中小企业工作部门确定为市级或经推荐被确定为国家级技术中心的工业企业，可争取国家重大产业技术研发专项资金或市产业技术创新资金支持。第二十五条中小企业在科技成果引进、转化及生产过程中，技术开发费按照实际发生额计入管理费用，不受比例限制。中小企业运用税后利润进行高新技术开发和项目投资，引进、消化和吸收先进技术成果，符合产业政策导向或促进高新技术成果转化要求的，可依法享受税收优惠。第二十六条鼓励创立科技企业孵化器。经市科技行政管理部门认定，达到标准的科技企业孵化器可享受高新技术企业各项政策。对经过认定的国家、省、市等各级科技中小企业孵化器，在给予资金支持的同时，给予相应的奖励。第二十七条鼓励中小企业与研究机构、高等院校开展技术合作、开发与交流，促进科技成果产业化，发展科技型中小企业。支持科研
科技,机构、高等院校与中小企业开展多种形式的产学研联合。第五章市场开拓第二十八条鼓励和支持大企业与中小企业建立以市场资源配置为基础，稳定的原材料供应、生产、销售、技术开发和技术改造等方面的协作关系。为大企业配套的中小企业的技术改造项目，可享受民营经济和中小企业发展专项资金的贷款贴息。第二十九条鼓励中小企业建立现代企业制度，支持法人资本和民间资本参与国有、集体所有制中小企业产权制度改革。引导、规范并推动中小企业通过合并、收购等方式，进行资产重组，优化资源配置。国有企业的资产重组由市政府有关部门按照职能审批，集体企业的资产重组由职工（代表）大会决定，非公有制经济企业的资产重组由出资人决定。资产重组应当坚持自愿原则，在资产重组各方当事人共同聘请的中介机构出具意见的基础上，重组各方应当签订合同（协议）。为降低重组成本，房屋和车辆过户可按变更或换证方式办理。原划拨的国有土地使用权处置可享受企业产权制度改革有关优惠政策。第三十条政府和先导区管委会采购部门应当公开发布采购信息，在同等条件下，优先购买中小企业货物、服务和工程。有关部门应当为中小企业获得政府采购项目提供指导和服务。第三十一条发挥中小企业国际市
科技,场开拓资金的作用，支持符合条件的中小企业到境外投资，参与国际贸易，推动对外经济技术合作与交流。中小企业应当积极争取通过开展出口信贷、出口信用保险等业务，开拓国际市场。政府和先导区管委会应当根据企业开拓市场的需要，组织中小企业开展国内外招商活动。第三十二条鼓励中小企业服务机构举办中小企业产品展览展销和信息咨询活动。第三十三条中小企业在质量管理方面取得显著成绩，产品被授予中国名牌产品、国家免检产品、省级名牌产品和中国驰名商标以及省著名商标称号的，政府和先导区管委会应给予奖励。第六章社会服务第三十四条充分发挥市中小企业服务中心的作用，鼓励支持发展各类社会中介服务机构。建立政府行政协调服务机构、公益性服务机构和商业性服务机构相结合的社会化服务体系，为中小企业提供人才交流、技术支持、信息咨询、市场开拓、资金融通、法律援助、创业辅导、企业诊断、人员培训、产权交易等服务。第三十五条健全和完善大连市中小企业信息网。通过中小企业信息网，公开政务信息，及时公布政策法规和市场动态，发布企业信用信息，披露失信行为，曝光违法违规案件，为中小企业提供全面、快捷的信息服务和展示企业形象的网络平台。第三十六条市政府通
科技,国家环境保护局环境保护科学技术研究成果管理办法（1992年2月20日国家环保局令第7号发布 自发布之日起施行）第一条为加强对环境保护科学技术研究成果（以下简称环保科技成果）的管理，促进环境保护科学技术进步，特制定本办法。第二条环保科技成果管理的主要任务，是做好环保科技成果的鉴定、建档、登记、奖励、保密和推广应用等工作。第三条本办法所指环保科技成果包括：（一）为阐明环境污染、生态破坏及其效应的机理、规律、特征而取得的具有一定学术价值的应用理论研究成果；（二）为解决某一环境问题而取得的具有创造性、先进性和实用性的应用技术成果；（三）对引进的环境保护科学技术进行消化、吸收、创新而取得的具有新颖性、先进性和实用价值的技术成果；（四）应用推广已有科技成果过程中取得的新的环保科技成果；（五）为环境决策和环境管理提供科学依据，促进环境、经济与社会协调发展而取得的软科学研究成果。第四条国家环境保护局负责管理全国的重大环保科技成果。各省、自治区、直辖市环境保护行政主管部门负责管理本地区的环保科技成果；国务院有关部委环境保护机构负责管理本部门的环保科技成果。各基层单位负责管理本单位的科技成果。第五条环保科
科技,技成果的鉴定必须按照国家科学技术委员会关于科学技术成果鉴定的规定执行。第六条环保科技成果通过鉴定后，应按档案管理的有关规定及时建档。第七条达到国家先进水平、技术难度较大、具有推广应用价值的重大环保科技成果，应报送国家环境保护局登记，并附送下列材料一套：（一）科学技术研究成果报告表；（二）技术鉴定证书或视同鉴定证书；（三）主要技术报告。报送国家环境保护局登记的环保科技成果，应经省、自治区、直辖市环境保护行政主管部门或国务院有关部委环境保护机构审查、推荐。国家环境保护局直属单位的环保科技成果，直接报送。两个以上单位合作完成的环保科技成果，由项目主要完成单位会同主要协作单位按上述规定报送。第八条国家环境保护局对符合条件的环保科技成果，按报送日期先后顺序登记，并在国家环境保护局《环境保护科学技术研究成果公报》上公布。任何单位、个人对《环境保护科学技术研究成果公报》中的环保科技成果有异议的，自成果公布之日起两个月内，可向国家环境保护局提出。提出异议必须采用书面形式，并写清异议者的真实姓名、工作单位和联系地址。国家环境保护局接到异议书后，送成果推荐部门调查核实；成果推荐部门应及时对有异议的成果提出
科技,北京市人民政府办公厅 关于大力加强经济信息预测工作的通知	京政办发[1984]25号								北京市人民政府办公厅关于大力加强经济信息预测工作的通知						各区、县人民政府，市政府各委、办、局，各总公司:近两三年来，我市各经济部门在经济信息和预测工作方面做了不少工作，特别是商业和银行系统取得了较好的成绩。面对世界范围新的技术革命的挑战和我国社会主义现代化建设蓬勃发展的形势，为了开创首都物质文明和精神文明建设的新局面，全市要大力加强经济信息和预测工作。现根据市人民政府的指示，作如下通知:一、各级领导干部要提高对经济信息和预测工作的认识，加强对这项工作的领导。加强经济信息工作的基本目的是:为各级领导机关的经济决策服务，为编制国民经济和社会发展计划服			－ 1 －				务，为促进生产、流通和搞好分配、指导消费服务，为提高企业和社会经济效益服务。信息灵通，预测准确，工作效率、生产效率和经济效益就会大大提高，经济决策也才能建筑在可靠的基础上。二、市计委是国民经济综合部门，要切实加强经济信息预测工作，并为逐步建立全市经济信息管理系统而努力。当前的主要任务是:建立全市经济信息联络网并开
科技,展活动；收集掌握国民经济生产、分配、流通、消费的变化动向，分析经济形势；组织宏观经济预测；编辑出版《北京经济信息》内部刊物；扩大与兄弟省市经济信息的交流。三、统计部门是重要的信息机构。市统计局要在调查和统计国民经济和社会发展全面情况的基础上，做好统计资料的综合分析、提炼工作，密切配合市计委做好宏观经济预测等工作。四、工业、农林、商业、经贸、财政金融、市政管理、建筑、科技、文教卫生各系统都要加强经济和社会发展信息工作，根据各系统的特点，明确任务，突出重点，组织本系统开展信息和预测工作，并向市计委输送有关经济信息。五、各局、总公司和企业都要指定一个部门，配备必要的专业干部抓经济信息和预测工作。各局、总公司特别是银行要从上到下逐步建立起自己的信息网络。要切实加强调查研究，进一步搞好典型调查，积极收集、研究和传递信息，为作出正确的经营决策服务。	－ 2 －		六、要抓好基础工作，建立商品档案、用户档案、货源档案等各种经济档案，充分利用计划、统计、财务数据，做到上下左右沟通情报。各部门之间要打破封锁，运用多种形式、多种渠道开展信息交流。七、根据需要与可能，加快信息预测手段的现代化建设。要积极创造
