"id","date","farmsName","price","bazaar"
"103","2014-1-2","生姜","6.7","广东汕头农副产品批发中心"
"188","2014-1-3","生姜","6.9","广东汕头农副产品批发中心"
"268","2014-1-4","生姜","6.75","广东汕头农副产品批发中心"
"336","2014-1-5","生姜","6.2","广东汕头农副产品批发中心"
"510","2014-1-7","生姜","6.1","广东汕头农副产品批发中心"
"654","2014-1-8","生姜","6.4","广东汕头农副产品批发中心"
"803","2014-1-9","生姜","6.7","广东汕头农副产品批发中心"
"834","2014-1-10","生姜","6.1","广东汕头农副产品批发中心"
"977","2014-1-11","生姜","6.5","广东汕头农副产品批发中心"
"1111","2014-1-12","生姜","5.7","广东汕头农副产品批发中心"
"1191","2014-1-13","生姜","6.5","广东汕头农副产品批发中心"
"1342","2014-1-14","生姜","6.2","广东汕头农副产品批发中心"
"1362","2014-1-15","生姜","6.4","广东汕头农副产品批发中心"
"1539","2014-1-16","生姜","9.3","广东汕头农副产品批发中心"
"1637","2014-1-17","生姜","7","广东汕头农副产品批发中心"
"1770","2014-1-18","生姜","6.2","广东汕头农副产品批发中心"
"1796","2014-1-19","生姜","5.9","广东汕头农副产品批发中心"
"1869","2014-1-20","生姜","5.7","广东汕头农副产品批发中心"
"2086","2014-1-21","生姜","6.2","广东汕头农副产品批发中心"
"2167","2014-1-22","生姜","6.2","广东汕头农副产品批发中心"
"2327","2014-1-23","生姜","5.8","广东汕头农副产品批发中心"
"2385","2014-1-24","生姜","6.5","广东汕头农副产品批发中心"
"2524","2014-1-25","生姜","6","广东汕头农副产品批发中心"
"2530","2014-1-26","生姜","6","广东汕头农副产品批发中心"
"2667","2014-1-27","生姜","6","广东汕头农副产品批发中心"
"2819","2014-1-28","生姜","6.7","广东汕头农副产品批发中心"
"2902","2014-2-7","生姜","6","广东汕头农副产品批发中心"
"2956","2014-2-8","生姜","6","广东汕头农副产品批发中心"
"3040","2014-2-9","生姜","6.2","广东汕头农副产品批发中心"
"3212","2014-2-10","生姜","6.9","广东汕头农副产品批发中心"
