date,id,farmsName,price,bazaar
2014-01-02,133,土豆,2.60,广东省广州市江南农副产品市场
2014-01-03,170,土豆,2.50,广东省广州市江南农副产品市场
2014-01-04,383,土豆,2.60,广东省广州市江南农副产品市场
2014-01-05,479,土豆,2.60,广东省广州市江南农副产品市场
2014-01-06,479,土豆,2.60,广东省广州市江南农副产品市场
2014-01-07,659,土豆,2.60,广东省广州市江南农副产品市场
2014-01-08,831,土豆,2.60,广东省广州市江南农副产品市场
2014-01-09,996,土豆,2.60,广东省广州市江南农副产品市场
2014-01-10,1126,土豆,2.50,广东省广州市江南农副产品市场
2014-01-11,1250,土豆,2.60,广东省广州市江南农副产品市场
2014-01-12,1386,土豆,2.50,广东省广州市江南农副产品市场
2014-01-13,1552,土豆,2.40,广东省广州市江南农副产品市场
2014-01-14,1591,土豆,2.40,广东省广州市江南农副产品市场
2014-01-15,1779,土豆,2.40,广东省广州市江南农副产品市场
2014-01-16,1903,土豆,2.60,广东省广州市江南农副产品市场
2014-01-17,2107,土豆,2.60,广东省广州市江南农副产品市场
2014-01-18,2214,土豆,2.40,广东省广州市江南农副产品市场
2014-01-19,2366,土豆,2.40,广东省广州市江南农副产品市场
2014-01-20,2386,土豆,2.30,广东省广州市江南农副产品市场
2014-01-21,2643,土豆,2.40,广东省广州市江南农副产品市场
2014-01-22,2798,土豆,2.40,广东省广州市江南农副产品市场
2014-01-23,2855,土豆,2.40,广东省广州市江南农副产品市场
2014-01-24,3083,土豆,3.00,广东省广州市江南农副产品市场
2014-01-25,3197,土豆,3.50,广东省广州市江南农副产品市场
2014-01-26,3319,土豆,3.50,广东省广州市江南农副产品市场
2014-01-27,3437,土豆,3.20,广东省广州市江南农副产品市场
2014-01-28,3569,土豆,3.50,广东省广州市江南农副产品市场
2014-01-29,3569,土豆,3.49,广东省广州市江南农副产品市场
2014-01-30,3569,土豆,3.48,广东省广州市江南农副产品市场
2014-01-31,3569,土豆,3.47,广东省广州市江南农副产品市场
2014-02-01,3569,土豆,3.46,广东省广州市江南农副产品市场
2014-02-02,3569,土豆,3.45,广东省广州市江南农副产品市场
2014-02-03,3569,土豆,3.44,广东省广州市江南农副产品市场
2014-02-04,3569,土豆,3.43,广东省广州市江南农副产品市场
2014-02-05,3569,土豆,3.42,广东省广州市江南农副产品市场
2014-02-06,3569,土豆,3.41,广东省广州市江南农副产品市场
2014-02-07,3685,土豆,3.40,广东省广州市江南农副产品市场
2014-02-08,3812,土豆,3.60,广东省广州市江南农副产品市场
2014-02-09,3972,土豆,3.40,广东省广州市江南农副产品市场
2014-02-10,4037,土豆,3.20,广东省广州市江南农副产品市场
2014-02-11,4139,土豆,3.00,广东省广州市江南农副产品市场
2014-02-12,4305,土豆,3.20,广东省广州市江南农副产品市场
2014-02-13,4444,土豆,2.80,广东省广州市江南农副产品市场
2014-02-14,4669,土豆,2.70,广东省广州市江南农副产品市场
2014-02-15,4810,土豆,2.50,广东省广州市江南农副产品市场
2014-02-16,4850,土豆,2.80,广东省广州市江南农副产品市场
2014-02-17,5035,土豆,2.80,广东省广州市江南农副产品市场
2014-02-18,5159,土豆,2.80,广东省广州市江南农副产品市场
2014-02-19,5342,土豆,2.80,广东省广州市江南农副产品市场
2014-02-20,5475,土豆,2.80,广东省广州市江南农副产品市场
2014-02-21,5577,土豆,2.70,广东省广州市江南农副产品市场
2014-02-22,5774,土豆,2.70,广东省广州市江南农副产品市场
2014-02-23,5823,土豆,2.30,广东省广州市江南农副产品市场
2014-02-24,6034,土豆,2.40,广东省广州市江南农副产品市场
2014-02-25,6034,土豆,2.45,广东省广州市江南农副产品市场
2014-02-26,6176,土豆,2.50,广东省广州市江南农副产品市场
2014-02-27,6213,土豆,2.60,广东省广州市江南农副产品市场
2014-02-28,6448,土豆,2.50,广东省广州市江南农副产品市场
2014-03-01,6566,土豆,2.50,广东省广州市江南农副产品市场
2014-03-02,6666,土豆,2.30,广东省广州市江南农副产品市场
2014-03-03,6736,土豆,2.40,广东省广州市江南农副产品市场
2014-03-04,6942,土豆,2.40,广东省广州市江南农副产品市场
2014-03-05,7066,土豆,2.40,广东省广州市江南农副产品市场
2014-03-06,7255,土豆,2.40,广东省广州市江南农副产品市场
2014-03-07,7481,土豆,2.40,广东省广州市江南农副产品市场
2014-03-08,7549,土豆,2.40,广东省广州市江南农副产品市场
2014-03-09,7668,土豆,2.50,广东省广州市江南农副产品市场
2014-03-10,7803,土豆,2.50,广东省广州市江南农副产品市场
2014-03-11,7885,土豆,2.50,广东省广州市江南农副产品市场
2014-03-12,8062,土豆,2.50,广东省广州市江南农副产品市场
2014-03-13,8284,土豆,2.50,广东省广州市江南农副产品市场
2014-03-14,8364,土豆,2.50,广东省广州市江南农副产品市场
2014-03-15,8507,土豆,2.50,广东省广州市江南农副产品市场
2014-03-16,8618,土豆,2.40,广东省广州市江南农副产品市场
2014-03-17,8760,土豆,2.40,广东省广州市江南农副产品市场
2014-03-18,8844,土豆,2.40,广东省广州市江南农副产品市场
2014-03-19,8844,土豆,2.40,广东省广州市江南农副产品市场
2014-03-20,9016,土豆,2.40,广东省广州市江南农副产品市场
2014-03-21,9174,土豆,2.40,广东省广州市江南农副产品市场
2014-03-22,9350,土豆,2.40,广东省广州市江南农副产品市场
2014-03-23,9413,土豆,2.40,广东省广州市江南农副产品市场
2014-03-24,9623,土豆,2.40,广东省广州市江南农副产品市场
2014-03-25,9755,土豆,2.40,广东省广州市江南农副产品市场
2014-03-26,9912,土豆,2.50,广东省广州市江南农副产品市场
2014-03-27,10014,土豆,2.40,广东省广州市江南农副产品市场
2014-03-28,10251,土豆,2.40,广东省广州市江南农副产品市场
2014-03-29,10356,土豆,2.40,广东省广州市江南农副产品市场
2014-03-30,10448,土豆,2.40,广东省广州市江南农副产品市场
2014-03-31,10588,土豆,2.40,广东省广州市江南农副产品市场
2014-04-01,10684,土豆,2.40,广东省广州市江南农副产品市场
2014-04-02,10684,土豆,2.38,广东省广州市江南农副产品市场
2014-04-03,10684,土豆,2.35,广东省广州市江南农副产品市场
2014-04-04,10684,土豆,2.32,广东省广州市江南农副产品市场
2014-04-05,10879,土豆,2.30,广东省广州市江南农副产品市场
2014-04-06,10943,土豆,2.30,广东省广州市江南农副产品市场
2014-04-07,11068,土豆,2.30,广东省广州市江南农副产品市场
2014-04-08,11272,土豆,2.40,广东省广州市江南农副产品市场
2014-04-09,11318,土豆,2.30,广东省广州市江南农副产品市场
2014-04-10,11504,土豆,2.40,广东省广州市江南农副产品市场
2014-04-11,11504,土豆,2.40,广东省广州市江南农副产品市场
2014-04-12,11691,土豆,2.40,广东省广州市江南农副产品市场
2014-04-13,11790,土豆,2.40,广东省广州市江南农副产品市场
2014-04-14,11946,土豆,2.40,广东省广州市江南农副产品市场
2014-04-15,11950,土豆,2.40,广东省广州市江南农副产品市场
2014-04-16,12225,土豆,2.40,广东省广州市江南农副产品市场
2014-04-17,12275,土豆,2.40,广东省广州市江南农副产品市场
2014-04-18,12275,土豆,2.40,广东省广州市江南农副产品市场
2014-04-19,12275,土豆,2.40,广东省广州市江南农副产品市场
2014-04-20,12417,土豆,2.40,广东省广州市江南农副产品市场
2014-04-21,12602,土豆,2.50,广东省广州市江南农副产品市场
2014-04-22,12673,土豆,2.50,广东省广州市江南农副产品市场
2014-04-23,12831,土豆,2.50,广东省广州市江南农副产品市场
2014-04-24,12963,土豆,2.30,广东省广州市江南农副产品市场
2014-04-25,13172,土豆,2.20,广东省广州市江南农副产品市场
2014-04-26,13300,土豆,2.20,广东省广州市江南农副产品市场
2014-04-27,13367,土豆,2.20,广东省广州市江南农副产品市场
2014-04-28,13524,土豆,2.30,广东省广州市江南农副产品市场
2014-04-29,13681,土豆,2.30,广东省广州市江南农副产品市场
2014-04-30,13744,土豆,2.30,广东省广州市江南农副产品市场
2014-05-01,13744,土豆,2.30,广东省广州市江南农副产品市场
2014-05-02,14052,土豆,2.30,广东省广州市江南农副产品市场
2014-05-03,14080,土豆,2.30,广东省广州市江南农副产品市场
2014-05-04,14258,土豆,2.30,广东省广州市江南农副产品市场
2014-05-05,14428,土豆,2.20,广东省广州市江南农副产品市场
2014-05-06,14476,土豆,2.50,广东省广州市江南农副产品市场
2014-05-07,14702,土豆,2.10,广东省广州市江南农副产品市场
2014-05-08,14852,土豆,2.50,广东省广州市江南农副产品市场
2014-05-09,14972,土豆,2.80,广东省广州市江南农副产品市场
2014-05-10,15088,土豆,2.20,广东省广州市江南农副产品市场
2014-05-11,15088,土豆,2.50,广东省广州市江南农副产品市场
2014-05-12,15193,土豆,2.80,广东省广州市江南农副产品市场
2014-05-13,15384,土豆,2.50,广东省广州市江南农副产品市场
2014-05-14,15554,土豆,2.80,广东省广州市江南农副产品市场
2014-05-15,15680,土豆,2.30,广东省广州市江南农副产品市场
2014-05-16,15865,土豆,1.80,广东省广州市江南农副产品市场
2014-05-17,15865,土豆,1.93,广东省广州市江南农副产品市场
2014-05-18,15865,土豆,2.07,广东省广州市江南农副产品市场
2014-05-19,16011,土豆,2.20,广东省广州市江南农副产品市场
2014-05-20,16011,土豆,2.10,广东省广州市江南农副产品市场
2014-05-21,16167,土豆,2.00,广东省广州市江南农副产品市场
2014-05-22,16315,土豆,2.00,广东省广州市江南农副产品市场
2014-05-23,16466,土豆,2.20,广东省广州市江南农副产品市场
2014-05-24,16494,土豆,2.00,广东省广州市江南农副产品市场
2014-05-25,16646,土豆,2.10,广东省广州市江南农副产品市场
2014-05-26,16712,土豆,2.00,广东省广州市江南农副产品市场
2014-05-27,16911,土豆,2.10,广东省广州市江南农副产品市场
2014-05-28,17075,土豆,2.20,广东省广州市江南农副产品市场
2014-05-29,17236,土豆,2.00,广东省广州市江南农副产品市场
2014-05-30,17376,土豆,2.20,广东省广州市江南农副产品市场
2014-05-31,17489,土豆,2.20,广东省广州市江南农副产品市场
2014-06-01,17565,土豆,2.00,广东省广州市江南农副产品市场
2014-06-02,17735,土豆,2.10,广东省广州市江南农副产品市场
2014-06-03,17751,土豆,2.00,广东省广州市江南农副产品市场
2014-06-04,17977,土豆,2.00,广东省广州市江南农副产品市场
2014-06-05,18041,土豆,1.90,广东省广州市江南农副产品市场
2014-06-06,18268,土豆,1.90,广东省广州市江南农副产品市场
2014-06-07,18390,土豆,1.90,广东省广州市江南农副产品市场
2014-06-08,18494,土豆,1.80,广东省广州市江南农副产品市场
2014-06-09,18659,土豆,1.90,广东省广州市江南农副产品市场
2014-06-10,18847,土豆,1.70,广东省广州市江南农副产品市场
2014-06-11,18930,土豆,1.80,广东省广州市江南农副产品市场
2014-06-12,19126,土豆,1.70,广东省广州市江南农副产品市场
2014-06-13,19216,土豆,1.90,广东省广州市江南农副产品市场
2014-06-14,19318,土豆,1.90,广东省广州市江南农副产品市场
2014-06-15,19486,土豆,1.90,广东省广州市江南农副产品市场
2014-06-16,19558,土豆,1.90,广东省广州市江南农副产品市场
2014-06-17,19648,土豆,1.90,广东省广州市江南农副产品市场
2014-06-18,19866,土豆,1.90,广东省广州市江南农副产品市场
2014-06-19,19866,土豆,1.90,广东省广州市江南农副产品市场
2014-06-20,20013,土豆,1.90,广东省广州市江南农副产品市场
2014-06-21,20156,土豆,2.00,广东省广州市江南农副产品市场
2014-06-22,20208,土豆,2.10,广东省广州市江南农副产品市场
2014-06-23,20448,土豆,1.90,广东省广州市江南农副产品市场
2014-06-24,20544,土豆,2.10,广东省广州市江南农副产品市场
2014-06-25,20650,土豆,1.90,广东省广州市江南农副产品市场
2014-06-26,20867,土豆,1.90,广东省广州市江南农副产品市场
2014-06-27,20979,土豆,2.00,广东省广州市江南农副产品市场
2014-06-28,21100,土豆,1.90,广东省广州市江南农副产品市场
2014-06-29,21197,土豆,1.80,广东省广州市江南农副产品市场
2014-06-30,21273,土豆,1.90,广东省广州市江南农副产品市场
2014-07-01,21470,土豆,1.90,广东省广州市江南农副产品市场
2014-07-02,21470,土豆,1.91,广东省广州市江南农副产品市场
2014-07-03,21470,土豆,1.92,广东省广州市江南农副产品市场
2014-07-04,21470,土豆,1.93,广东省广州市江南农副产品市场
2014-07-05,21470,土豆,1.94,广东省广州市江南农副产品市场
2014-07-06,21470,土豆,1.95,广东省广州市江南农副产品市场
2014-07-07,21470,土豆,1.96,广东省广州市江南农副产品市场
2014-07-08,21470,土豆,1.97,广东省广州市江南农副产品市场
2014-07-09,21470,土豆,1.98,广东省广州市江南农副产品市场
2014-07-10,21470,土豆,1.99,广东省广州市江南农副产品市场
2014-07-11,21725,土豆,2.00,广东省广州市江南农副产品市场
2014-07-12,21802,土豆,2.10,广东省广州市江南农副产品市场
2014-07-13,21909,土豆,2.10,广东省广州市江南农副产品市场
2014-07-14,21951,土豆,2.10,广东省广州市江南农副产品市场
2014-07-15,22160,土豆,2.10,广东省广州市江南农副产品市场
2014-07-16,22266,土豆,2.10,广东省广州市江南农副产品市场
2014-07-17,22484,土豆,2.10,广东省广州市江南农副产品市场
2014-07-18,22647,土豆,2.10,广东省广州市江南农副产品市场
2014-07-19,22736,土豆,2.10,广东省广州市江南农副产品市场
2014-07-20,22783,土豆,2.10,广东省广州市江南农副产品市场
2014-07-21,22975,土豆,2.30,广东省广州市江南农副产品市场
2014-07-22,23029,土豆,2.10,广东省广州市江南农副产品市场
2014-07-23,23167,土豆,2.10,广东省广州市江南农副产品市场
2014-07-24,23385,土豆,2.10,广东省广州市江南农副产品市场
2014-07-25,23553,土豆,2.10,广东省广州市江南农副产品市场
2014-07-26,23595,土豆,2.10,广东省广州市江南农副产品市场
2014-07-27,23775,土豆,2.10,广东省广州市江南农副产品市场
2014-07-28,23889,土豆,2.30,广东省广州市江南农副产品市场
2014-07-29,23965,土豆,2.30,广东省广州市江南农副产品市场
2014-07-30,24071,土豆,2.30,广东省广州市江南农副产品市场
2014-07-31,24240,土豆,2.30,广东省广州市江南农副产品市场
2014-08-01,24404,土豆,2.10,广东省广州市江南农副产品市场
2014-08-02,24529,土豆,2.10,广东省广州市江南农副产品市场
2014-08-03,24688,土豆,2.20,广东省广州市江南农副产品市场
2014-08-04,24731,土豆,2.20,广东省广州市江南农副产品市场
2014-08-05,24964,土豆,2.20,广东省广州市江南农副产品市场
2014-08-06,24964,土豆,2.15,广东省广州市江南农副产品市场
2014-08-07,25216,土豆,2.10,广东省广州市江南农副产品市场
2014-08-08,25374,土豆,2.20,广东省广州市江南农副产品市场
2014-08-09,25441,土豆,2.20,广东省广州市江南农副产品市场
2014-08-10,25528,土豆,2.40,广东省广州市江南农副产品市场
2014-08-11,25696,土豆,2.10,广东省广州市江南农副产品市场
2014-08-12,25882,土豆,2.10,广东省广州市江南农副产品市场
2014-08-13,25966,土豆,2.00,广东省广州市江南农副产品市场
2014-08-14,26158,土豆,2.00,广东省广州市江南农副产品市场
2014-08-15,26234,土豆,2.00,广东省广州市江南农副产品市场
2014-08-16,26407,土豆,2.00,广东省广州市江南农副产品市场
2014-08-17,26407,土豆,2.00,广东省广州市江南农副产品市场
