date	market_cap	total_volume	price
2020/12/1	113645724	30716592	612.26
2020/12/2	113659297	39952722	589.58
2020/12/3	113672745	24782677	598.76
2020/12/4	113686319	19876254	616.51
2020/12/5	113699844	25069156	571.19
2020/12/6	113713433	19751580	595.92
2020/12/7	113726895	19018563	601.97
2020/12/8	113740323	16888941	592.39
2020/12/9	113753805	24366357	554.33
2020/12/10	113767489	24443976	573.9
2020/12/11	113780834	20681779	560.45
2020/12/12	113794388	20758239	545.98
2020/12/13	113807834	16738614	568.36
2020/12/14	113821249	15384266	590.32
2020/12/15	113834884	13308727	585.54
2020/12/16	113848333	17243745	589.07
2020/12/17	113861943	23264427	635.96
2020/12/18	113875513	30614167	644.07
2020/12/19	113888985	25236999	654.42
2020/12/20	113902482	22298385	659.32
2020/12/21	113916069	20078457	639.52
2020/12/22	113929750	23850699	610.43
2020/12/23	113943093	18189961	634.98
2020/12/24	113956828	28532869	587.96
2020/12/25	113970200	24680852	612.88
2020/12/26	113983632	20963124	626.46
2020/12/27	113997308	23014811	636.74
2020/12/28	114010919	35810595	689.66
2020/12/29	114024501	30947513	732.96
2020/12/30	114037902	23251361	735.59
2020/12/31	114051377	17671770	752.86
2021/1/1	114064806	24588309	738.62
2021/1/2	114078458	18954586	730.15
2021/1/3	114092067	26256534	777.7
2021/1/4	114105536	144431989	967
2021/1/5	114119028	61074455	1025.65
2021/1/6	114132619	42714167	1103.36
2021/1/7	114146177	39638805	1208.58
2021/1/8	114159519	34983464	1229.47
2021/1/9	114173139	39423396	1223.73
2021/1/10	114186598	27154032	1282.98
2021/1/11	114200236	35107351	1267.73
2021/1/12	114213691	61365877	1092.91
2021/1/13	114227299	35840037	1045.41
2021/1/14	114240929	28414584	1132.02
2021/1/15	114254270	28274645	1216.91
2021/1/16	114267956	33695335	1171.86
2021/1/17	114281444	31016043	1234.63
2021/1/18	114294927	28920226	1229.38
2021/1/19	114308461	24559107	1255.98
2021/1/20	114322023	37725980	1383.48
2021/1/21	114335676	37658454	1385.85
2021/1/22	114349088	44213034	1122.91
2021/1/23	114362627	39545841	1236.68
2021/1/24	114376256	24997290	1231.18
2021/1/25	114389684	28704347	1392.54
2021/1/26	114403233	33347288	1323.43
2021/1/27	114416794	29775172	1355.23
2021/1/28	114430145	30907689	1253.14
2021/1/29	114443726	24652114	1328.77
2021/1/30	114457132	35797019	1380.28
2021/1/31	114470457	21557332	1372.43
2021/2/1	114484176	18757623	1317.05
2021/2/2	114497767	20871731	1368.66
2021/2/3	114511234	28318800	1514.23
2021/2/4	114524884	25482726	1661
2021/2/5	114538401	26874276	1587.8
2021/2/6	114551918	22692606	1724.86
2021/2/7	114565326	21822738	1683.94
2021/2/8	114579004	24155385	1608.64
2021/2/9	114592441	26013632	1751
2021/2/10	114605985	23823914	1769.05
2021/2/11	114619528	23346431	1739.16
2021/2/12	114633081	18990994	1782.51
2021/2/13	114646675	19602171	1841.2
2021/2/14	114659986	18404797	1810.84
2021/2/15	114673667	16735322	1804.98
2021/2/16	114687230	21186624	1775.76
2021/2/17	114700651	18650601	1782.58
2021/2/18	114714412	18207385	1845.57
2021/2/19	114727676	17956616	1938.57
2021/2/20	114741491	17665405	1969.98
2021/2/21	114754976	23294263	1929.37
2021/2/22	114768400	17035233	1941.43
2021/2/23	114781894	30084841	1788.62
2021/2/24	114795551	39993715	1563.92
2021/2/25	114808899	24754969	1628.39
2021/2/26	114822570	21615013	1468.86
2021/2/27	114836135	25316382	1450.99
2021/2/28	114849562	19042939	1480.13
2021/3/1	114863033	24946114	1416.66
2021/3/2	114876576	20167378	1570.4
2021/3/3	114890155	19411378	1497.09
2021/3/4	114903547	19214462	1579.43
2021/3/5	114917143	19321586	1546.5
2021/3/6	114930806	18532041	1539.05
2021/3/7	114944456	18700471	1661.93
2021/3/8	114957833	17018978	1727.46
2021/3/9	114971341	19231911	1837.53
2021/3/10	114984841	16670225	1869.33
2021/3/11	114998410	17608314	1802.31
2021/3/12	115011901	17130946	1826.06
2021/3/13	115025263	16052388	1770.94
2021/3/14	115038923	17009543	1927.72
2021/3/15	115052535	14130808	1866.07
